doi,author_name,given_name,family_name,keyword,pubmed_id,affiliation,institute,address,full_name
10.1038/s41598-023-47332-0,Kearney SM,Sean M.,Kearney,Chitinase,37968300,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA",Sean M. Kearney
10.1038/s41598-023-47332-0,Kehoe DM,David M.,Kehoe,Chitinase,37968300,"Department of Biology, Indiana University, Bloomington, IN, USA.",Indiana University,"1001 E 3rd St, Bloomington, IN 47405, USA",David M. Kehoe
10.1038/s41598-023-47332-0,Chisholm SW,Sallie W.,Chisholm,Chitinase,37968300,"Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA. chisholm@mit.edu.",Massachusetts Institute of Technology,"32 Vassar St, Cambridge, MA 02139, USA",Sallie W. Chisholm
10.1002/alz.12612,Connolly K,Kevin,Connolly,Chitinase,35234337,"Graduate Program in Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, Box G-L215, 185 Meeting Street, Providence, RI 02912, USA",Kevin Connolly
10.1002/alz.12612,Lehoux M,Mikael,Lehoux,Chitinase,35234337,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, Box G-L215, 185 Meeting Street, Providence, RI 02912, USA",Mikael Lehoux
10.1002/alz.12612,O'Rourke R,Ryan,O'Rourke,Chitinase,35234337,"Graduate Program in Pathobiology, Brown University, Providence, Rhode Island, USA.",Brown University,"75 Waterman St, Providence, RI 02912, USA",Ryan O'Rourke
10.1002/alz.12612,Assetta B,Benedetta,Assetta,Chitinase,35234337,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, Box G-L215, 185 Meeting Street, Providence, RI 02912, USA",Benedetta Assetta
10.1002/alz.12612,Erdemir GA,Guzide Ayse,Erdemir,Chitinase,35234337,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, Box G-L215, 185 Meeting Street, Providence, RI 02912, USA",Guzide Ayse Erdemir
10.1002/alz.12612,Elias JA,Jack A,Elias,Chitinase,35234337,"Department of Molecular Microbiology and Immunology, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, Box G-L215, 185 Meeting Street, Providence, RI 02912, USA",Jack A Elias
10.1002/alz.12612,Lee CG,Chun Geun,Lee,Chitinase,35234337,"Department of Molecular Microbiology and Immunology, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, Box G-L215, 185 Meeting Street, Providence, RI 02912, USA",Chun Geun Lee
10.1002/alz.12612,Huang YA,Yu‐Wen Alvin,Huang,Chitinase,35234337,"Center for Translational Neuroscience, Robert J. and Nancy D. Carney Institute for Brain Science and Brown Institute for Translational Science, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, 164 Angell St 4th floor, Providence, RI 02906, USA",Yu‐Wen Alvin Huang
10.1183/16000617.0143-2019,Dela Cruz CS,Charles S.,Dela Cruz,Chitinase,32350087,"Section of Pulmonary and Critical Care and Sleep Medicine, Dept of Medicine, Yale University School of Medicine, New Haven, CT, USA charles.delacruz@yale.edu.",Yale University School of Medicine,"300 Cedar St #441, New Haven, CT 06520, USA",Charles S. Dela Cruz
10.1128/iai.00549-22,Devlin JR,Jason R.,Devlin,Chitinase,37255426,"Department of Microbiology and Immunology, University of Illinois Chicago, Chicago, Illinois, USA.",University of Illinois Chicago,"250 E Superior St #565, Chicago, IL 60611, USA",Jason R. Devlin
10.1128/iai.00549-22,Behnsen J,Judith,Behnsen,Chitinase,37255426,"Department of Microbiology and Immunology, University of Illinois Chicago, Chicago, Illinois, USA.",University of Illinois Chicago,"250 E Superior St #565, Chicago, IL 60611, USA",Judith Behnsen
10.1007/s10886-021-01284-9,Han Y,Yang,Han,Chitinase,34056671,"The Pennsylvania State University, Plant Science, University Park, PA, USA.",The Pennsylvania State University,"103 Tyson Bldg, University Park, PA 16802, USA",Yang Han
10.1007/s10886-021-01284-9,Taylor EB,Erin B.,Taylor,Chitinase,34056671,"Department of Physiology and Biophysics, The University of Mississippi Medical Center, Jackson, MS, 39216, USA.",The University of Mississippi Medical Center,"Emergency Room, 2500 N State St, Jackson, MS 39216, USA",Erin B. Taylor
10.1007/s10886-021-01284-9,Luthe D,Dawn,Luthe,Chitinase,34056671,"The Pennsylvania State University, Plant Science, University Park, PA, USA. dsl14@psu.edu.",The Pennsylvania State University,"103 Tyson Bldg, University Park, PA 16802, USA",Dawn Luthe
10.1002/pro.4289,Kaur H,Hargobinder,Kaur,Chitinase,35481637,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA",Hargobinder Kaur
10.1002/pro.4289,Garber L,Laine,Garber,Chitinase,35481637,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA",Laine Garber
10.1002/pro.4289,Murphy JW,James W.,Murphy,Chitinase,35481637,"Department of Pharmacology, Yale University School of Medicine, New Haven, Connecticut, USA.",Yale University School of Medicine,"B208, 333 Cedar St Sterling Hall of Medicine, New Haven, CT 06510, USA",James W. Murphy
10.1002/pro.4289,Vinetz JM,Joseph M.,Vinetz,Chitinase,35481637,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA",Joseph M. Vinetz
10.1021/acsomega.2c00139,Morsby JJ,Janeala J.,Morsby,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Janeala J. Morsby
10.1021/acsomega.2c00139,Thimes RL,Rebekah L.,Thimes,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Rebekah L. Thimes
10.1021/acsomega.2c00139,Olson JE,Jacob E.,Olson,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Jacob E. Olson
10.1021/acsomega.2c00139,McGarraugh HH,Hannah H.,McGarraugh,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Hannah H. McGarraugh
10.1021/acsomega.2c00139,Payne JN,Jason N.,Payne,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Jason N. Payne
10.1021/acsomega.2c00139,Camden JP,Jon P.,Camden,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Jon P. Camden
10.1021/acsomega.2c00139,Smith BD,Bradley D.,Smith,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Bradley D. Smith
10.1371/journal.pone.0286609,Burgess ER,Edwin R.,Burgess,β-Glucosidase,37643188,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA",Edwin R. Burgess
10.1371/journal.pone.0286609,Sanscrainte ND,Neil D.,Sanscrainte,β-Glucosidase,37643188,"USDA-ARS Center for Medical, Agricultural, and Veterinary Entomology, Gainesville, FL, United States of America.",Unparsed,"USDA01, 1600 SW 23 Dr, Gainesville, FL 32608, USA",Neil D. Sanscrainte
10.1371/journal.pone.0286609,Taylor CE,Caitlin E.,Taylor,β-Glucosidase,37643188,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA",Caitlin E. Taylor
10.1371/journal.pone.0286609,Buss LJ,Lyle J.,Buss,β-Glucosidase,37643188,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA",Lyle J. Buss
10.1371/journal.pone.0286609,Estep AS,Alden S.,Estep,β-Glucosidase,37643188,"USDA-ARS Center for Medical, Agricultural, and Veterinary Entomology, Gainesville, FL, United States of America.",Unparsed,"USDA01, 1600 SW 23 Dr, Gainesville, FL 32608, USA",Alden S. Estep
10.1021/acs.bioconjchem.2c00057,Morsby JJ,Janeala J.,Morsby,Glucosaminidase,35302753,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, United States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Janeala J. Morsby
10.1021/acs.bioconjchem.2c00057,Smith BD,Bradley D.,Smith,Glucosaminidase,35302753,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, United States.",University of Notre Dame,"251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",Bradley D. Smith
10.1128/jb.00428-22,Weaver A,Anna,Weaver,Glucosaminidase,36757204,"Department of Microbiology, Blavatnik Institute, Harvard Medical School, Boston, Massachusetts, USA.",Blavatnik Institute,"Building C, 240 Longwood Ave, Boston, MA 02115, USA",Anna Weaver
10.1128/jb.00428-22,Dörr T,Tobias,Dörr,Glucosaminidase,36757204,"Cornell Institute of Host-Microbe Interactions and Disease, Cornell University, Ithaca, New York, USA.",Cornell University,"304, Rice Hall, 340 Tower Rd, Ithaca, NY 14853, USA",Tobias Dörr
10.4103/1673-5374.377606,Rouse CJ,Courtney J.,Rouse,Glucosaminidase,37488890,"Lacerta Therapeutics, Alachua, FL, USA.",Unparsed,"14189 N W 129th Way, Alachua, FL 32615, USA",Courtney J. Rouse
10.4103/1673-5374.377606,Jensen VN,Victoria N.,Jensen,Glucosaminidase,37488890,"Lacerta Therapeutics, Alachua, FL, USA.",Unparsed,"14189 N W 129th Way, Alachua, FL 32615, USA",Victoria N. Jensen
10.4103/1673-5374.377606,Heldermon CD,Coy D.,Heldermon,Glucosaminidase,37488890,"University of Florida College of Medicine, Gainesville, FL, USA.",University of Florida College of Medicine,"1600 SW Archer Rd, Gainesville, FL 32610, USA",Coy D. Heldermon
10.1007/s42773-021-00093-3,Ducey TF,Thomas F.,Ducey,Glucosaminidase,35128320,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA",Thomas F. Ducey
10.1007/s42773-021-00093-3,Novak JM,Jeffrey M.,Novak,Glucosaminidase,35128320,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA",Jeffrey M. Novak
10.1007/s42773-021-00093-3,Sigua GC,Gilbert C.,Sigua,Glucosaminidase,35128320,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA",Gilbert C. Sigua
10.1007/s42773-021-00093-3,Ippolito JA,James A.,Ippolito,Glucosaminidase,35128320,"Department of Soil and Crop Sciences, Colorado State University, Fort Collins CO, USA.",Colorado State University,"307 University Ave, Fort Collins, CO 80521, USA",James A. Ippolito
10.1007/s42773-021-00093-3,Rushmiller HC,Hannah C.,Rushmiller,Glucosaminidase,35128320,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA",Hannah C. Rushmiller
10.1007/s42773-021-00093-3,Watts DW,Donald W.,Watts,Glucosaminidase,35128320,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA",Donald W. Watts
10.1007/s42773-021-00093-3,Trippe KM,Kristin M.,Trippe,Glucosaminidase,35128320,"National Forage Seed Production Research Center, Agricultural Research Service-USDA, Corvallis OR, USA.",Unparsed,"3450 SW Campus Way, Corvallis, OR 97331, USA",Kristin M. Trippe
10.1007/s42773-021-00093-3,Spokas KA,Kurt A.,Spokas,Glucosaminidase,35128320,"Soil and Water Management Research Unit, Agricultural Research Service-USDA, St. Paul MN, USA.",Unparsed,"1991 Upper Buford Cir # 454, St Paul, MN 55108, USA",Kurt A. Spokas
10.1007/s42773-021-00093-3,Stone KC,Kenneth C.,Stone,Glucosaminidase,35128320,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA",Kenneth C. Stone
10.1007/s42773-021-00093-3,Johnson MG,Mark G.,Johnson,Glucosaminidase,35128320,"National Health and Environmental Effects Research Laboratory, US Environmental Protection Agency, Corvallis OR, USA.",National Health and Environmental Effects Research Laboratory,"200 SW 35th St, Corvallis, OR 97333, USA",Mark G. Johnson
10.2215/CJN.15951219,Zager RA,Richard A.,Zager,Glucosaminidase,32291269,"Department of Medicine, The University of Washington, Seattle, Washington.",The University of Washington,"1959 NE Pacific St, Seattle, WA 98195, USA",Richard A. Zager
10.2215/CJN.15951219,Johnson ACM,Ali C.M.,Johnson,Glucosaminidase,32291269,"Clinical Research Division, The Fred Hutchinson Cancer Research Center, Seattle, Washington.",Unparsed,"1100 Fairview Ave N, Seattle, WA 98109, USA",Ali C.M. Johnson
10.2215/CJN.15951219,Guillem A,Alvaro,Guillem,Glucosaminidase,32291269,"Renibus Therapeutics, Southlake, Texas.",Unparsed,"181 Grand Ave Suite 225, Southlake, TX 76092, USA",Alvaro Guillem
10.2215/CJN.15951219,Keyser J,Jeff,Keyser,Glucosaminidase,32291269,"Renibus Therapeutics, Southlake, Texas.",Unparsed,"181 Grand Ave Suite 225, Southlake, TX 76092, USA",Jeff Keyser
10.2215/CJN.15951219,Singh B,Bhupinder,Singh,Glucosaminidase,32291269,"Department of Medicine, The University of California, Irvine, California.",The University of California,"1001 Health Sciences Rd, Irvine, CA 92617, USA",Bhupinder Singh
10.1111/iej.13911,Costalonga M,Massimo,Costalonga,Glucosaminidase,36861850,"Division of Basic Sciences, Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"Malcolm Moos Health Sciences Tower, 515 Delaware St SE, Minneapolis, MN 55455, USA",Massimo Costalonga
10.1111/iej.13911,Dietz M,Matthew,Dietz,Glucosaminidase,36861850,"Division of Basic & Translational Research, Department of Surgery, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"McGuire Translational Research Facility, 2001 6th St SE, Minneapolis, MN 55455, USA",Matthew Dietz
10.1111/iej.13911,Lima BP,Bruno P.,Lima,Glucosaminidase,36861850,"Division of Basic Sciences, Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"Malcolm Moos Health Sciences Tower, 515 Delaware St SE, Minneapolis, MN 55455, USA",Bruno P. Lima
10.1111/iej.13911,Staley C,Christopher,Staley,Glucosaminidase,36861850,"Division of Basic & Translational Research, Department of Surgery, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"McGuire Translational Research Facility, 2001 6th St SE, Minneapolis, MN 55455, USA",Christopher Staley
10.1021/acschembio.2c00741,DeMeester K,Kristen,DeMeester,Glucosaminidase,36414253,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"102 Brown Laboratory, University of Delaware, Newark, DE 19716, USA",Kristen DeMeester
10.1021/acschembio.2c00741,Liang H,Hai,Liang,Glucosaminidase,36414253,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"102 Brown Laboratory, University of Delaware, Newark, DE 19716, USA",Hai Liang
10.1021/acschembio.2c00741,Santiago C,Cintia,Santiago,Glucosaminidase,36414253,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"102 Brown Laboratory, University of Delaware, Newark, DE 19716, USA",Cintia Santiago
10.1021/acschembio.2c00741,Leimkuhler Grimes C,Catherine,Leimkuhler Grimes,Glucosaminidase,36414253,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"102 Brown Laboratory, University of Delaware, Newark, DE 19716, USA",Catherine Leimkuhler Grimes
10.3390/antibiotics8040214,Swift SM,Steven M.,Swift,Glucosaminidase,31717357,"Contrafect Corporation., Yonkers, NY 10701, USA.",Unparsed,"28 Wells Ave 3rd floor, Yonkers, NY 10701, USA",Steven M. Swift
10.3390/antibiotics8040214,Reid KP,Kevin P.,Reid,Glucosaminidase,31717357,"Animal Biosciences and Biotechnology Laboratory, United States Department of Agricultural (USDA), Agricultural Research Service, Baltimore Avenue, Beltsville, MD 10300, USA.",Animal Biosciences and Biotechnology Laboratory,"Baltimore Ave, Beltsville, MD, USA",Kevin P. Reid
10.3390/antibiotics8040214,Donovan DM,David M.,Donovan,Glucosaminidase,31717357,"Department of Biology, Morgan State University, Baltimore, MD 21251, USA.",Morgan State University,"1700 E Cold Spring Ln, Baltimore, MD 21251, USA",David M. Donovan
10.3390/antibiotics8040214,Ramsay TG,Timothy G.,Ramsay,Glucosaminidase,31717357,"Animal Biosciences and Biotechnology Laboratory, United States Department of Agricultural (USDA), Agricultural Research Service, Baltimore Avenue, Beltsville, MD 10300, USA.",Animal Biosciences and Biotechnology Laboratory,"10300 Baltimore Avenue, Bldg. 200, Rm. 217, Barc-East, Beltsville, MD 20705, USA",Timothy G. Ramsay
10.3389/fmicb.2021.655987,Alster CJ,Charlotte J.,Alster,Glucosaminidase,33995318,"Ecology and Evolutionary Biology, University of California Irvine, Irvine, CA, United States.",University of California Irvine,"321 Steinhaus Hall, Irvine, CA 92697, USA",Charlotte J. Alster
10.3389/fmicb.2021.655987,Allison SD,Steven D.,Allison,Glucosaminidase,33995318,"Department of Earth System Science, University of California Irvine, Irvine, CA, United States.",University of California Irvine,"3200 Croul Hall St, Irvine, CA 92697, USA",Steven D. Allison
10.3389/fmicb.2021.655987,Glassman SI,Sydney I.,Glassman,Glucosaminidase,33995318,"Department of Microbiology and Plant Pathology, University of California, Riverside, CA, United States.",University of California,"Office: Boyce Hall 3407, Boyce Hall 1463, Riverside, CA 92521, USA",Sydney I. Glassman
10.3389/fmicb.2021.655987,Martiny AC,Adam C.,Martiny,Glucosaminidase,33995318,"Department of Earth System Science, University of California Irvine, Irvine, CA, United States.",University of California Irvine,"3200 Croul Hall St, Irvine, CA 92697, USA",Adam C. Martiny
10.3389/fmicb.2021.655987,Treseder KK,Kathleen K.,Treseder,Glucosaminidase,33995318,"Ecology and Evolutionary Biology, University of California Irvine, Irvine, CA, United States.",University of California Irvine,"321 Steinhaus Hall, Irvine, CA 92697, USA",Kathleen K. Treseder
10.1021/acs.analchem.1c02658,Klose AM,Alanna M.,Klose,Glucosaminidase,34596381,"Department of Dermatology, University of Rochester, Rochester, New York 14627, United States.",University of Rochester,"40 Celebration Dr, Rochester, NY 14620, USA",Alanna M. Klose
10.1021/acs.analchem.1c02658,Daiss JL,John L.,Daiss,Glucosaminidase,34596381,"Department of Orthopaedics, Center for Musculoskeletal Research, University of Rochester, Rochester, New York 14627, United States.",University of Rochester,"601 Elmwood Ave, Rochester, NY 14642, USA",John L. Daiss
