"doi","pmid","keyword","countries","title"
"10.4049/jimmunol.2000447","","Lyticase","USA,China","Distinct Responses of Thitarodes xiaojinensis β-1,3-Glucan Recognition Protein-1 and Immulectin-8 to Ophiocordyceps sinensis and Cordyceps militaris Infection. (2021)"
"10.1021/ja1100189","","Lyticase","Korea","Mussel-inspired encapsulation and functionalization of individual yeast cells. (2011)"
"10.1139/w11-064","","Lyticase","UK,Austria","Detection of Aspergillus in lung and other tissue samples using the MycAssay Aspergillus real-time PCR kit. (2011)"
"10.4155/tde.10.114","","Lyticase","Israel,India","Curdlan complexes as a potential food-grade delivery system: genistein case study. (2011)"
"10.1021/es405731j","","Lyticase","China,Germany","Heterocyclic aromatic hydrocarbons show estrogenic activity upon metabolization in a recombinant transactivation assay. (2014)"
"10.1002/jobm.201700545","","Lyticase","Hungary","Autolytic enzymes are responsible for increased melanization of carbon stressed Aspergillus nidulans cultures. (2018)"
"10.1039/c8cc01311j","","Lyticase","China","Decorating an individual living cell with a shell of controllable thickness by cytocompatible surface initiated graft polymerization. (2018)"
"10.1002/cpps.101","","Lyticase","Turkey","Isolation of High-Quality RNA from Pichia pastoris. (2019)"
"10.1002/yea.3514","","Lyticase","Turkey","Genomic, transcriptomic and physiological analyses of silver-resistant Saccharomyces cerevisiae obtained by evolutionary engineering. (2020)"
"10.1021/acsnano.1c03896","","Lyticase","China","A Versatile Strategy to Coat Individual Cell with Fully/Partially Covered Shell for Preparation of Self-Propelling Living Cells. (2021)"
"10.1002/adma.202206437","","Lyticase","China","Visualized Gallium/Lyticase-Integrated Antifungal Strategy for Fungal Keratitis Treatment. (2022)"
"10.1021/acs.biomac.3c01143","","Lyticase","China","Yolk-Shell Encapsulation of Cells by Biomimetic Mineralization and Visible Light-Induced Surface Graft Polymerization. (2023)"
"10.1093/jxb/eraa560","","Glucanase","Japan","Organ-specific expression and epigenetic traits of genes encoding digestive enzymes in the lance-leaf sundew (Drosera adelae). (2021)"
"10.1093/jas/skab190","","Glucanase","USA","Modulation of jejunal mucosa-associated microbiota in relation to intestinal health and nutrient digestibility in pigs by supplementation of β-glucanase to corn-soybean meal-based diets with xylanase. (2021)"
"10.1111/mpp.12431","","Glucanase","France","Identification of a Vitis vinifera endo-β-1,3-glucanase with antimicrobial activity against Plasmopara viticola. (2017)"
"10.1128/aem.01274-22","","Glucanase","USA","Engineering Caldicellulosiruptor bescii with Surface Layer Homology Domain-Linked Glycoside Hydrolases Improves Plant Biomass Solubilization. (2022)"
"10.1016/j.psj.2023.102768","37236039","Glucanase","USA","Effects of adaptation diet and exogenous enzymes on true metabolizable energy and cecal microbial ecology, short-chain fatty acid profile, and enzyme activity in roosters fed barley and rye diets"
"10.1007/s00253-023-12416-4","","Glucanase","","Distinct roles of carbohydrate-binding modules in multidomain β-1,3-1,4-glucanase on polysaccharide degradation"
"10.1007/s11274-023-03550-2","","Glucanase","","Microbial β-glucanases: production, properties, and engineering"
"10.1186/s13068-023-02332-0","","Glucanase","","Heterologous expression and characterization of novel GH12 β-glucanase and AA10 lytic polysaccharide monooxygenase from Streptomyces megaspores and their synergistic action in cellulose saccharification"
"10.1038/s41467-023-41175-z","","Glucanase","","Plant immunity suppression by an exo-β-1,3-glucanase and an elongation factor 1α of the rice blast fungus"
"10.1371/journal.ppat.1011578","","Glucanase","","Insect fungal pathogens secrete a cell wall-associated glucanase that acts to help avoid recognition by the host immune system"
"10.21203/rs.3.rs-3307888/v1","","Glucanase","","Post-Transcriptional Gene Silencing of Glucanase Inhibitor Protein in Phytophthora Cinnamomi"
"10.3390/md21060332","","Chitinase","","Biochemical Properties of a Cold-Active Chitinase from Marine Trichoderma gamsii R1 and Its Application to Preparation of Chitin Oligosaccharides"
"10.1038/s43705-023-00316-7","","Chitinase","","Widespread occurrence of chitinase-encoding genes suggests the Endozoicomonadaceae family as a key player in chitin processing in the marine benthos"
"10.1186/s13071-023-05733-0","","Chitinase","","Molecular identification of the chitinase genes in Aedes albopictus and essential roles of AaCht10 in pupal-adult transition"
"10.1038/s41598-023-47332-0","","Chitinase","","Chitin degradation by Synechococcus WH7803"
"10.1002/alz.12612","35234337","Chitinase","USA","Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease"
"10.1183/16000617.0143-2019","32350087","Chitinase","USA,China","Chitotriosidase: a marker and modulator of lung disease"
"10.1128/iai.00549-22","37255426","Chitinase","USA","Bacterial Chitinases and Their Role in Human Infection"
"10.1007/s10886-021-01284-9","34056671","Chitinase","USA","Maize Endochitinase Expression in Response to Fall Armyworm Herbivory"
"10.1093/jambio/lxad141","37418242","Chitinase","Vietnam","Novel resources of chitinolytic bacteria isolated from Yok Don National Park, Vietnam"
"10.1002/pro.4289","35481637","Chitinase","USA,"Structure-function analysis of cysteine residues in the plasmodium falciparum chitinase, PfCHT1"
"10.3389/fmicb.2023.1121720","","Chitinase","China","Genomic analysis and chitinase characterization of Vibrio harveyi WXL538: insight into its adaptation to the marine environment"
"10.3390/plants12071543","","Chitinase","China","Bioinformatics and Expression Analysis of the Chitinase Genes in Strawberry (Fragaria vesca) and Functional Study of FvChi-14"
"10.3390/microorganisms11061387","","β-Glucosidase","China","Expression of β-Glucosidases from the Yak Rumen in Lactic Acid Bacteria: A Genetic Engineering Approach"
"10.1021/acsomega.2c00139","35224403","β-Glucosidase","USA","Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering"
"10.1371/journal.pone.0286609","37643188","β-Glucosidase","USA","Expression, activity, and consequences of biochemical inhibition of α- and β-glucosidases in different life stages of Culex quinquefasciatus"
"10.1038/s41598-023-32353-6","","Glucosidase","","A glucose tolerant β-glucosidase from a newly isolated Neofusicoccum parvum strain F7: production, purification, and characterization"
"10.3390/molecules28186548","","Glucosidase","","Bioactivity-Guided Synthesis: In Silico and In Vitro Studies of β-Glucosidase Inhibitors to Cope with Hepatic Cytotoxicity"
"10.1186/s12882-023-03262-7","37452282","Glucosaminidase","","Urinary N-Acetyl-Beta-D-Glucosaminidase levels predict immunoglobulin a nephropathy remission status"
"10.3390/bioengineering10040444","37106631","Glucosaminidase","","Revisiting the Role of NAG across the Continuum of Kidney Disease"
"10.4239/wjd.v14.i6.883","37383593","Glucosaminidase","","Application of urinary N-acetyl-β-D-glucosaminidase combined with serum retinol-binding protein in early detection of diabetic nephropathy"
"10.1021/acs.bioconjchem.2c00057","35302753","Glucosaminidase","USA","Advances in Optical Sensors of N-Acetyl-β-d-hexosaminidase ( N-Acetyl-β-d-glucosaminidase)"
"10.1128/jb.00428-22","36757204","Glucosaminidase","USA","Masters of Misdirection: Peptidoglycan Glycosidases in Bacterial Growth"
"10.4103/1673-5374.377606","37488890","Glucosaminidase","USA","Mucopolysaccharidosis type IIIB: a current review and exploration of the AAV therapy landscape"
"10.1007/s42773-021-00093-3","35128320","Glucosaminidase","USA","Microbial response to designer biochar and compost treatments for mining impacted soils"
"10.2215/CJN.15951219","32291269","Glucosaminidase","USA","A Pharmacologic "Stress Test" for Assessing Select Antioxidant Defenses in Patients with CKD"
"10.1111/iej.13911","36861850","Glucosaminidase","USA","The root canal microbiome diversity and function. A whole-metagenome shotgun analysis"
"10.1021/acschembio.2c00741","36414253","Glucosaminidase","USA,UK","Coupling Novel Probes with Molecular Localization Microscopy Reveals Cell Wall Homeostatic Mechanisms in Staphylococcus aureus"
"10.3390/antibiotics8040214","31717357","Glucosaminidase","USA","Thermophile Lytic Enzyme Fusion Proteins that Target Clostridium perfringens"
"10.1007/s11356-023-27002-4","37071353","Glucosaminidase","Vietnam,Netherlands,France","Impacts of microplastics and heavy metals on the earthworm Eisenia fetida and on soil organic carbon, nitrogen, and phosphorus"
"10.1016/j.envpol.2022.120223","36191798","Glucosaminidase","Canada,France","Vulnerability and tolerance to nickel of periphytic biofilm harvested in summer and winter"
"10.3389/fmicb.2021.655987","33995318","Glucosaminidase","USA","Exploring Trait Trade-Offs for Fungal Decomposers in a Southern California Grassland"
"10.1021/acs.analchem.1c02658","34596381","Glucosaminidase","USA","StaphAIR: A Label-Free Antigen Microarray Approach to Detecting Anti- Staphylococcus aureus Antibody Responses in Orthopedic Infections"
"10.3390/vaccines11081309","37631877","Glucosaminidase","","Polymeric Delivery Systems as a Potential Vaccine against Visceral Leishmaniasis: Formulation Development and Immunogenicity"
"10.1016/j.cell.2020.09.058","33125892","β-Glucan","USA,Germany,Netherlands,Greece,UK","Innate Immune Training of Granulopoiesis Promotes Anti-tumor Activity"
"10.4049/jimmunol.2100107","34740960","β-Glucan","USA","β-Glucan Induces Distinct and Protective Innate Immune Memory in Differentiated Macrophages"
"10.1016/j.tcsw.2021.100061","34765834","β-Glucan","USA","Glucan and glycogen exist as a covalently linked macromolecular complex in the cell wall of Candida albicans and other Candida species"
"10.1016/j.foodchem.2020.127668","32758805","β-Glucan","USA","Distributions of nutrients and avenanthramides within oat grain and effects on pearled kernel composition"
"10.3390/pharmaceutics15061615","37376063","Glucan","China,Japan,Russia","Immunomodulatory Effect and Biological Significance of β-Glucans"
"10.1111/cns.14132","36890624","β-Glucan","China","β‐Glucan attenuates cognitive impairment of APP/PS1 mice via regulating intestinal flora and its metabolites"
"10.1186/s40168-020-00920-y","33008466","β-Glucan","China,Australia","β-glucan attenuates cognitive impairment via the gut-brain axis in diet-induced obese mice"
"10.1186/s13071-023-05686-4","36782332","β-Glucan","China","β-Glucan alleviates goal-directed behavioral deficits in mice infected with Toxoplasma gondii"
"10.3390/foods12173148","37685079","β-Glucan","Korea","The Immunomodulatory Effect of β-Glucan Depends on the Composition of the Gut Microbiota"
"10.1080/10408398.2023.2217727","37272431","β-Glucan","China,UK","Interaction of beta-glucans with gut microbiota: Dietary origins, structures, degradation, metabolism, and beneficial function"
"10.1007/s10068-023-01473-0","","β-Glucan","","Effect of modification methods on the physical properties and immunomodulatory activity of particulate β-glucan"
"10.1038/s42003-023-04970-4","37253778","β-Glucan","UK","Fungal β-glucan-facilitated cross-feeding activities between Bacteroides and Bifidobacterium species"
"10.1038/s41586-023-05856-5","36949198","β-Glucan","China","Structural and mechanistic insights into fungal β-1,3-glucan synthase FKS1"
"10.3390/ph15111379","36355551","β-Glucan","Spain,Chile","Antioxidant, Immunomodulatory and Potential Anticancer Capacity of Polysaccharides (Glucans) from Euglena gracilis G.A. Klebs"
"10.3390/ph15101179","36297292","β-Glucan","Brazil","Immunomodulatory Effect of Polysaccharides from the Mushroom-Forming Basidiomycete Gymnopilus imperialis (Agaricomycetes, Basidiomycota)"
"10.3390/ph16030460","36986559","β-Glucan","Spain","Food By-Products and Agro-Industrial Wastes as a Source of β-Glucans for the Formulation of Novel Nutraceuticals"
"10.1007/s10529-023-03422-7","37606752","Chitin","Japan","Simple chitin-based cell culture platform for production of biopharmaceuticals"
"10.3390/jfb14050288","37233398","Chitin","India","Recent Advancements in Electrospun Chitin and Chitosan Nanofibers for Bone Tissue Engineering Applications"
"10.1107/S2059798323003261","37259836","Chitin","Thailand","Structural and binding studies of a new chitin-active AA10 lytic polysaccharide monooxygenase from the marine bacterium Vibrio campbellii"
"10.1021/acs.biomac.3c00419","37259538","Chitin","China","Modulating of Bouligand Structure and Chirality Constructed Bionically Based on the Self-Assembly of Chitin Whiskers"
"10.1021/acs.biomac.3c00419","37259538","Chitin","China","Modulating of Bouligand Structure and Chirality Constructed Bionically Based on the Self-Assembly of Chitin Whiskers"
"10.3390/polym15040793","36850077","Chitin","Poland","Chitin and Chitosan as Polymers of the Future-Obtaining, Modification, Life Cycle Assessment and Main Directions of Application"
"10.1038/s41467-023-40479-4","37553334","Chitin","China","Structure, catalysis, chitin transport, and selective inhibition of chitin synthase"
"10.3390/pharmaceutics15041313","37111795","Chitin","USA,India","Chitosan: A Potential Biopolymer in Drug Delivery and Biomedical Applications"
"10.3791/64590","36971450","Chitin","India","Process Evaluation and Kinetics of Recombinant Chitin Deacetylase Expression in E. coli Rosetta pLysS Cells Using a Statistical Technique"
"10.1016/j.pestbp.2019.08.002","31685194","Chitin","USA,China","Progress and prospects of arthropod chitin pathways and structures as targets for pest management"
"10.3389/fimmu.2019.01057","31134096","Chitin","USA","Reciprocal Inhibition of Adiponectin and Innate Lung Immune Responses to Chitin and Aspergillus fumigatus"
"10.3791/62301","33720135","Chitin","USA","Preparation of Expanded Chitin Foams and their Use in the Removal of Aqueous Copper"
"10.3389/fpls.2022.832502","35222488","Chitin","USA","Chitin Triggers Tissue-Specific Immunity in Wheat Associated With Fusarium Head Blight"
"10.1371/journal.pone.0282347","36888604","Chitin","USA,Germany,Denmark","The role of FIBCD1 in response to Aspergillus fumigatus in lung epithelial cells"
"10.61186/ibj.27.5.320","37525429","Mannoprotein","Iran","Optimal Extraction and Deproteinization Method for Mannoprotein Purification from Kluyveromyces marxianus"
"10.4155/fmc-2018-0465","30994368","Mannoprotein","USA","Targeting the fungal cell wall: current therapies and implications for development of alternative antifungal agents"
"10.1007/s11130-022-00947-6","35072856","Mannoprotein","Vietnam,France","Microencapsulation of Hibiscus sabdariffa L. Calyx Anthocyanins with Yeast Hulls"
"10.3390/biom9090466","31505886","Mannoprotein","USA,Australia","Commercial Saccharomyces cerevisiae Yeast Strains Significantly Impact Shiraz Tannin and Polysaccharide Composition with Implications for Wine Colour and Astringency"
"10.1016/j.biomaterials.2022.121379","35078005","Mannoprotein","USA","Dissection and enhancement of prebiotic properties of yeast cell wall oligosaccharides through metabolic engineering"
"10.1021/acs.jafc.9b00450","31187991","Mannoprotein","USA,Germany","Polyphenol-Protein-Polysaccharide Interactions in the Presence of Carboxymethyl Cellulose (CMC) in Wine-Like Model Systems"
"10.1016/j.semcdb.2018.03.009","29551572","α-Glucan","USA","Flying under the radar: Histoplasma capsulatum avoidance of innate immune recognition"
"10.1021/acs.accounts.2c00636","36448710","α-Glucan","USA","Phenanthroline Catalysis in Stereoselective 1,2- cis Glycosylations"
"10.3390/molecules25173807","32825708","α-Glucan","USA","Development and Physical Characterization of α-Glucan Nanoparticles"
"10.1016/j.btre.2023.e00817","38020725","α-Glucan","USA","Biophysical characterization of α-glucan nanoparticles encapsulating feruloylated soy glycerides (FSG)"
"10.1111/nan.12865","36456471","α-Glucan","USA","Abundant copathologies of polyglucosan bodies, frontotemporal lobar degeneration with TDP-43 inclusions and ageing-related tau astrogliopathy in a family with a GBE1 mutation"
"10.3390/jof8101102","36294667","GPI-Anchored Proteins","USA","Calcineurin Inhibitors Synergize with Manogepix to Kill Diverse Human Fungal Pathogens"
"10.1016/j.jprot.2022.104580","35427801","GPI-Anchored Proteins","USA","Composition and abundance of midgut surface proteins in the Asian citrus psyllid, Diaphorina citri"
"10.1093/jb/mvaa075","32844210","GPI-Anchored Proteins","USA,Japan","Analysis of GPI-anchored proteins involved in germline stem cell proliferation in the Caenorhabditis elegans germline stem cell niche"
"10.1177/0271678X21999553","33715494","GPI-Anchored Proteins","USA","Transcriptome analysis reveals sexual disparities in gene expression in rat brain microvessels"
"10.1073/pnas.2123056119","35867835","GPI-Anchored Proteins","USA,India","Active emulsions in living cell membranes driven by contractile stresses and transbilayer coupling"
"10.1016/j.cell.2022.01.009","35148840","Mannan","USA,Italy","An adjuvant strategy enabled by modulation of the physical properties of microbial ligands expands antigen immunogenicity"
"10.1128/mSphere.00715-19","31666315","Mannan","USA","Dectin-2-Targeted Antifungal Liposomes Exhibit Enhanced Efficacy"
"10.3389/fimmu.2019.00504","30941137","Mannan","USA,Czechia","The Emerging Role of Complement Proteins as a Target for Therapy of IgA Nephropathy"
"10.1016/j.ekir.2020.08.003","33163724","Mannan","USA,Canada,Germany,UK","Safety, Tolerability and Efficacy of Narsoplimab, a Novel MASP-2 Inhibitor for the Treatment of IgA Nephropathy"
"10.1111/myc.13451","35506957","Mannan","USA,Germany,Austria,Ireland","Serologic biomarkers in Candida and Aspergillus infections of the central nervous system: A comparison of galactomannan, mannan and β-1,3-D-gucan testing from serum and cerebrospinal fluid"
"10.1038/s41586-021-04295-4","35046576","Saccharomyces","USA","Ageing exacerbates ribosome pausing to disrupt cotranslational proteostasis"
"10.1038/s41586-019-1608-2","31578522","Saccharomyces","USA","The fungal mycobiome promotes pancreatic oncogenesis via activation of MBL"
"10.1021/acschembio.9b00369","31243956","Saccharomyces","USA","Identification and Quantification of Modified Nucleosides in Saccharomyces cerevisiae mRNAs"
"10.1038/s41586-022-04506-6","35264797","Saccharomyces","USA,Canada,Chile,Israel","The evolution, evolvability and engineering of gene regulatory DNA"
"10.1038/s41586-019-0978-9","30814733","Saccharomyces","USA,China,Denmark,Switzerland","Complete biosynthesis of cannabinoids and their unnatural analogues in yeast"
"10.2174/1389450120666190924155631","31549952","Candida","USA,India","Candida auris and Nosocomial Infection"
"10.1038/s41586-022-04502-w","35296857","Candida","USA,UK,Germany","Immune regulation by fungal strain diversity in inflammatory bowel disease"
"10.1038/s41586-021-03241-8","33627867","Candida","USA,UK","Multi-kingdom ecological drivers of microbiota assembly in preterm infants"
"10.1016/j.ophtha.2021.07.015","34293405","Candida","USA","American Academy of Ophthalmology Recommendations on Screening for Endogenous Candida Endophthalmitis"
"10.1038/s41586-021-03722-w","34262174","Candida","USA","Adaptive immunity induces mutualism between commensal eukaryotes"
"10.1007/978-1-0716-2399-2_7","35781202","Pichia","USA","Competent Cell Preparation and Transformation of Pichia pastoris"
"10.1002/bit.27698","33527350","Pichia","USA","Modeling of copy number variability in Pichia pastoris"
"10.1128/MRA.00337-23","37747226","Pichia","USA,Canada","Genome sequencing of 15 acid-tolerant yeasts"
"10.1016/j.heliyon.2020.e03269","31993527","Pichia","USA,Cote d'Ivoire","Microbial synergy between Pichia kudriazevii YS201 and Bacillus subtilis BS38 improves pulp degradation and aroma production in cocoa pulp simulation medium"
"10.21769/BioProtoc.4628","36908634","Pichia","USA","Optimized Expression and Isolation of Recombinant Active Secreted Proteases Using Pichia pastoris"
"10.1186/s13068-021-02008-7","34274018","Kluyveromyces","USA,Spain,Israel","Cellulosic biofuel production using emulsified simultaneous saccharification and fermentation (eSSF) with conventional and thermotolerant yeasts"
"10.1186/s12934-022-01863-9","35786380","Yarrowia","USA","Engineering heterologous enzyme secretion in Yarrowia lipolytica"
"10.1016/j.mec.2023.e00228","38029016","Yarrowia","USA","Engineering Yarrowia lipolytica for the biosynthesis of geraniol"
"10.1007/978-1-0716-1414-3_1","33847979","Yarrowia","USA","Genome Engineering of Yarrowia lipolytica with the PiggyBac Transposon System"
"10.1007/978-1-0716-1414-3_12","33847990","Yarrowia","USA","Methods to Activate and Elucidate Complex Endogenous Sugar Metabolism in Yarrowia lipolytica"
"10.1126/science.abd0919","33707263","Debaryomyces","USA","Debaryomyces is enriched in Crohn's disease intestinal tissue and impairs healing in mice"
"10.3389/fphys.2021.699253","34349667","Debaryomyces","USA,Germany,Russia,Belgium","Dynamic Changes of the Fungal Microbiome in Alcohol Use Disorder"
"10.1038/s41586-022-04798-8","35676478","Schizosaccharomyces","USA,UK","Core control principles of the eukaryotic cell cycle"
"10.1242/jcs.259061","35028663","Schizosaccharomyces","USA","Dynamic configurations of meiotic DNA-break hotspot determinant proteins"
"10.1083/jcb.202204039","36515990","Schizosaccharomyces","USA,UK,Switzerland,Austria","Meiotic nuclear pore complex remodeling provides key insights into nuclear basket organization"
"10.1007/s10886-019-01139-4","31879864","Hanseniaspora","USA","Response of Wild Spotted Wing Drosophila (Drosophila suzukii) to Microbial Volatiles"
"10.1242/jeb.227843","33051361","Hanseniaspora","USA","How gut microbiome interactions affect nutritional traits of Drosophila melanogaster
"10.1016/j.fm.2020.103460","32336379","Hanseniaspora","USA,China","Effects of initial oxygenation on chemical and aromatic composition of wine in mixed starters of Hanseniaspora vineae and Saccharomyces cerevisiae"
"10.1371/journal.pone.0211378","30917111","Hanseniaspora","USA","The epiphytic microbiota of sour rot-affected grapes differs minimally from that of healthy grapes, indicating causal organisms are already present on healthy berries"
"10.1128/AEM.00304-20","32358003","Trichosporon","USA,China","Chicken Intestinal Mycobiome: Initial Characterization and Its Response to Bacitracin Methylene Disalicylate"
"10.1093/ofid/ofab256","34189174","Trichosporon","USA","IL-7 Immunotherapy in a Nonimmunocompromised Patient With Intractable Fungal Wound Sepsis"
"10.1016/j.jcf.2023.02.003","36822979","Trichosporon","USA","Distinct community structures of the fungal microbiome and respiratory health in adults with cystic fibrosis"
"10.1128/mSphere.00166-19","31167944","Rhodotorula","USA","Cell Envelope Integrity and Capsule Characterization of Rhodotorula mucilaginosa Strains from Clinical and Environmental Sources"
"10.1093/femsyr/foab066","34902017","Rhodotorula","USA","CUT&RUN identifies centromeric DNA regions of Rhodotorula toruloides IFO0880"
"10.1038/s41598-022-25303-1","36587027","Geotrichum","USA","Higher-order interactions shape microbial interactions as microbial community complexity increases"
"10.1094/PDIS-04-22-0916-PDN","36302729","Geotrichum","USA","First report of Geotrichum candidum causing rubbery rot of potato (Solanum tuberosum) in Michigan"
"10.1111/ctr.13587","31077616","Pneumocystis","USA","Pneumocystis jiroveci in solid organ transplantation: Guidelines from the American Society of Transplantation Infectious Diseases Community of Practice"
"10.3390/jof9060602","37367538","Pneumocystis","USA","Novel Pneumocystis Antigens for Seroprevalence Studies"
"10.3390/jof8080799","36012788","Pneumocystis","USA","Predicting Species Boundaries and Assessing Undescribed Diversity in Pneumocystis, an Obligate Lung Symbiont"
"10.1128/mSphere.00488-19","31484742","Pneumocystis","USA","Transcriptomic and Proteomic Approaches to Finding Novel Diagnostic and Immunogenic Candidates in Pneumocystis"
"10.3390/jof8020136","35205890","Pneumocystis","USA,Chile","Sero-Epidemiology of Pneumocystis Infection among Infants, Children, and Adults in Chile"
"10.1016/j.cell.2022.09.015","36179671","Blastomyces","USA","A pan-cancer mycobiome analysis reveals fungal involvement in gastrointestinal and lung tumors"
"10.1093/cid/ciac882","36366776","Blastomyces","USA","The Geographic Distribution of Dimorphic Mycoses in the United States for the Modern Era"
"10.1002/cpmc.132","33315302","Blastomyces","USA","Gene Editing in Dimorphic Fungi Using CRISPR/Cas9"
"10.1016/j.eucr.2023.102489","37455778","Blastomyces","USA","Disseminated blastomycosis presenting with genitourinary abscesses"
"10.1093/ofid/ofac609","36447609","Histoplasmosis","USA","Comparison of Indirect Fungal Diagnostic Tests in Patients With Proven Histoplasmosis"
"10.1128/msphere.00370-23","37819140","Histoplasma","USA","Recyclable CRISPR/Cas9-mediated gene disruption and deletions in Histoplasma"
"10.1128/mbio.03773-21","35404120","Histoplasma","USA","Mac1-Dependent Copper Sensing Promotes Histoplasma Adaptation to the Phagosome during Adaptive Immunity"
"10.1128/mSphere.00742-20","32848006","Histoplasma","USA","Biodiverse Histoplasma Species Elicit Distinct Patterns of Pulmonary Inflammation following Sublethal Infection"
"10.1128/mbio.02574-21","35089059","Histoplasma","USA","Chromosome-Level Genome Assembly of a Human Fungal Pathogen Reveals Synteny among Geographically Distinct Species"
"10.1177/1098612X19846987","31070544","Microsporum","USA","Trichophyton species and Microsporum gypseum infection and fomite carriage in cats from three animal shelters: a retrospective case series"
"10.3389/fcimb.2020.545913","33178620","Microsporum","USA","Activity of Various Essential Oils Against Clinical Dermatophytes of Microsporum and Trichophyton"
"10.7759/cureus.21210","35174019","Epidermophyton","USA","Tinea and Tattoo: A Man Who Developed Tattoo-Associated Tinea Corporis and a Review of Dermatophyte and Systemic Fungal Infections Occurring Within a Tattoo"
"10.1007/s11046-021-00567-9","34164772","Epidermophyton","China","Comparative Genomics and Molecular Analysis of Epidermophyton floccosum"
"10.1016/j.funbio.2021.12.002","35183341","Fusarium","USA,Brazil,Australia","Fusarium mirum sp. nov, intertwining Fusarium madaense and Fusarium andiyazi, pathogens of tropical grasses"
"10.1094/PDIS-06-20-1376-RE","33487016","Fusarium","USA","Chemotype and Aggressiveness Evaluation of Fusarium graminearum and Fusarium culmorum Isolates from Wheat Fields in Wisconsin"
"10.1094/PDIS-09-21-2105-SR","34879732","Fusarium","USA","FUSARIUM-ID v.3.0: An Updated, Downloadable Resource for Fusarium Species Identification"
"10.1080/00275514.2020.1816387","33151805","Conidiobolus","USA","Conidiobolus lunulus, a new entomophthoralean species isolated from leafcutter ants"
"10.3389/fvets.2021.633695","33614770","Conidiobolus","USA","Case Report: Successful Management of Conidiobolus Lamprauges Rhinitis in a Dog"
"10.3389/fvets.2021.799641","34988143","Conidiobolus","USA","Case Report: Pulmonary Conidiobolomycosis in a Vietnamese Pot-Bellied Pig"
"10.1128/mbio.03272-21","35012355","Paracoccidioides","USA,Brazil","Fungal Extracellular Vesicles Are Involved in Intraspecies Intracellular Communication"
"10.1097/DAD.0000000000002601","38055960","Coccidioides","USA","Cutaneous Coccidiomycosis"
"10.1172/jci.insight.159491","36166305","Coccidioides","USA,China,Japan","Immunogenetics associated with severe coccidioidomycosis"
