doi,author_name,given_name,family_name
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1002/etc.5445,Simon E,Eszter,Simon
10.1002/etc.5445,Riegraf C,Carolin,Riegraf
10.1002/etc.5445,Schifferli A,Andrea,Schifferli
10.1002/etc.5445,Olbrich D,Daniel,Olbrich
10.1002/etc.5445,Bucher T,Thomas,Bucher
10.1002/etc.5445,Vermeirssen ELM,Etiënne L. M.,Vermeirssen
10.1002/etc.5445,Simon E,Eszter,Simon
10.1002/etc.5445,Riegraf C,Carolin,Riegraf
10.1002/etc.5445,Schifferli A,Andrea,Schifferli
10.1002/etc.5445,Olbrich D,Daniel,Olbrich
10.1002/etc.5445,Bucher T,Thomas,Bucher
10.1002/etc.5445,Vermeirssen ELM,Etiënne L. M.,Vermeirssen
10.1002/etc.5445,Simon E,Eszter,Simon
10.1002/etc.5445,Riegraf C,Carolin,Riegraf
10.1002/etc.5445,Schifferli A,Andrea,Schifferli
10.1002/etc.5445,Olbrich D,Daniel,Olbrich
10.1002/etc.5445,Bucher T,Thomas,Bucher
10.1002/etc.5445,Vermeirssen ELM,Etiënne L. M.,Vermeirssen
10.1002/etc.5445,Simon E,Eszter,Simon
10.1002/etc.5445,Riegraf C,Carolin,Riegraf
10.1002/etc.5445,Schifferli A,Andrea,Schifferli
10.1002/etc.5445,Olbrich D,Daniel,Olbrich
10.1002/etc.5445,Bucher T,Thomas,Bucher
10.1002/etc.5445,Vermeirssen ELM,Etiënne L. M.,Vermeirssen
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.4049/jimmunol.2000447,Meng Q,Qian,Meng
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker
10.1128/AAC.04650-14,Tan Y,Yulong,Tan
10.1128/AAC.04650-14,Vints K,Katlijn,Vints
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer
10.1128/AAC.04650-14,Braem A,Annabel,Braem
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten
10.1128/AAC.04650-14,Michiels J,Jan,Michiels
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen
10.1128/jb.173.10.3101-3108.1991,Patton JL,J L,Patton
10.1128/jb.173.10.3101-3108.1991,Lester RL,R L,Lester
10.1128/jb.173.23.7429-7435.1991,Adams CC,C C,Adams
10.1128/jb.173.23.7429-7435.1991,Gross DS,D S,Gross
10.1155/2013/268249,Vellanki RN,Ravi N.,Vellanki
10.1155/2013/268249,Potumarthi R,Ravichandra,Potumarthi
10.1155/2013/268249,Doddapaneni KK,Kiran K.,Doddapaneni
10.1155/2013/268249,Anubrolu N,Naveen,Anubrolu
10.1155/2013/268249,Mangamoori LN,Lakshmi N.,Mangamoori
10.1128/iai.58.11.3469-3476.1990,Hazen KC,K C,Hazen
10.1128/iai.58.11.3469-3476.1990,Lay JG,J G,Lay
10.1128/iai.58.11.3469-3476.1990,Hazen BW,B W,Hazen
10.1128/iai.58.11.3469-3476.1990,Fu RC,R C,Fu
10.1128/iai.58.11.3469-3476.1990,Murthy S,S,Murthy
10.1128/iai.63.4.1253-1257.1995,Blasi E,E,Blasi
10.1128/iai.63.4.1253-1257.1995,Pitzurra L,L,Pitzurra
10.1128/iai.63.4.1253-1257.1995,Chimienti AR,A R,Chimienti
10.1128/iai.63.4.1253-1257.1995,Mazzolla R,R,Mazzolla
10.1128/iai.63.4.1253-1257.1995,Puliti M,M,Puliti
10.1128/iai.63.4.1253-1257.1995,Barluzzi R,R,Barluzzi
10.1128/iai.63.4.1253-1257.1995,Bistoni F,F,Bistoni
10.14202/vetworld.2020.1030-1036,Sachivkina N,Nadezhda,Sachivkina
10.14202/vetworld.2020.1030-1036,Lenchenko E,Ekaterina,Lenchenko
10.14202/vetworld.2020.1030-1036,Blumenkrants D,Dmitri,Blumenkrants
10.14202/vetworld.2020.1030-1036,Ibragimova A,Alfia,Ibragimova
10.14202/vetworld.2020.1030-1036,Bazarkina O,Olga,Bazarkina
10.14202/vetworld.2020.1030-1036,Sachivkina N,Nadezhda,Sachivkina
10.14202/vetworld.2020.1030-1036,Lenchenko E,Ekaterina,Lenchenko
10.14202/vetworld.2020.1030-1036,Blumenkrants D,Dmitri,Blumenkrants
10.14202/vetworld.2020.1030-1036,Ibragimova A,Alfia,Ibragimova
10.14202/vetworld.2020.1030-1036,Bazarkina O,Olga,Bazarkina
10.14202/vetworld.2020.1030-1036,Sachivkina N,Nadezhda,Sachivkina
10.14202/vetworld.2020.1030-1036,Lenchenko E,Ekaterina,Lenchenko
10.14202/vetworld.2020.1030-1036,Blumenkrants D,Dmitri,Blumenkrants
10.14202/vetworld.2020.1030-1036,Ibragimova A,Alfia,Ibragimova
10.14202/vetworld.2020.1030-1036,Bazarkina O,Olga,Bazarkina
10.14202/vetworld.2020.1030-1036,Sachivkina N,Nadezhda,Sachivkina
10.14202/vetworld.2020.1030-1036,Lenchenko E,Ekaterina,Lenchenko
10.14202/vetworld.2020.1030-1036,Blumenkrants D,Dmitri,Blumenkrants
10.14202/vetworld.2020.1030-1036,Ibragimova A,Alfia,Ibragimova
10.14202/vetworld.2020.1030-1036,Bazarkina O,Olga,Bazarkina
10.14202/vetworld.2020.1030-1036,Sachivkina N,Nadezhda,Sachivkina
10.14202/vetworld.2020.1030-1036,Lenchenko E,Ekaterina,Lenchenko
10.14202/vetworld.2020.1030-1036,Blumenkrants D,Dmitri,Blumenkrants
10.14202/vetworld.2020.1030-1036,Ibragimova A,Alfia,Ibragimova
10.14202/vetworld.2020.1030-1036,Bazarkina O,Olga,Bazarkina
10.2144/01305st05,Guével RL,R. Le,Guével
10.2144/01305st05,Pakdel F,F.,Pakdel
10.1590/s0100-879x2004001000003,Cavalheiro RA,R.A.,Cavalheiro
10.1590/s0100-879x2004001000003,Fortes F,F.,Fortes
10.1590/s0100-879x2004001000003,Borecký J,J.,Borecký
10.1590/s0100-879x2004001000003,Faustinoni VC,V.C.,Faustinoni
10.1590/s0100-879x2004001000003,Schreiber AZ,A.Z.,Schreiber
10.1099/jmm.0.46569-0,Al-Fattani MA,Mohammed A.,Al-Fattani
10.1099/jmm.0.46569-0,Douglas LJ,L. Julia,Douglas
10.1099/jmm.0.46569-0,Al-Fattani MA,Mohammed A.,Al-Fattani
10.1099/jmm.0.46569-0,Douglas LJ,L. Julia,Douglas
10.1099/jmm.0.47617-0,Metwally L,L.,Metwally
10.1099/jmm.0.47617-0,Fairley DJ,D. J.,Fairley
10.1099/jmm.0.47617-0,Coyle PV,P. V.,Coyle
10.1099/jmm.0.47617-0,Hay RJ,R. J.,Hay
10.1099/jmm.0.47617-0,Hedderwick S,S.,Hedderwick
10.1099/jmm.0.47617-0,McCloskey B,B.,McCloskey
10.1099/jmm.0.47617-0,O'Neill HJ,H. J.,O'Neill
10.1099/jmm.0.47617-0,Webb CH,C. H.,Webb
10.1099/jmm.0.47617-0,Elbaz W,W.,Elbaz
10.1099/jmm.0.47617-0,McMullan R,R.,McMullan
10.1099/jmm.0.47617-0,Metwally L,L.,Metwally
10.1099/jmm.0.47617-0,Fairley DJ,D. J.,Fairley
10.1099/jmm.0.47617-0,Coyle PV,P. V.,Coyle
10.1099/jmm.0.47617-0,Hay RJ,R. J.,Hay
10.1099/jmm.0.47617-0,Hedderwick S,S.,Hedderwick
10.1099/jmm.0.47617-0,McCloskey B,B.,McCloskey
10.1099/jmm.0.47617-0,O'Neill HJ,H. J.,O'Neill
10.1099/jmm.0.47617-0,Webb CH,C. H.,Webb
10.1099/jmm.0.47617-0,Elbaz W,W.,Elbaz
10.1099/jmm.0.47617-0,McMullan R,R.,McMullan
