affiliation,institute,address
"Department of Management and Economy in Pharmacy, Medical Institute, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia",RUDN University,"ul. Miklukho-Maklaya, 8, Moskva, Russia, 117198"
"Université de Rennes, Rennes, France remyle-guevel@univ-rennes1fr",Université de Rennes,"7 Pl. Hoche, 35000 Rennes, France"
"Departamento de Patologia Clínica, Faculdade de Ciências Médicas, Universidade Estadual de Campinas, 13083-970 Campinas, SP, Brazil",Universidade Estadual de Campinas,"R. Tessália Vieira de Camargo, 126 - Cidade Universitária, Campinas - SP, 13083-887, Brazil"
"Division of Infection and Immunity, Institute of Biomedical and Life Sciences, Joseph Black Building, University of Glasgow, Glasgow G12 8QQ, UK",University of Glasgow,"Glasgow G12 8QQ, UK"
"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
"Queen's University of Belfast, School of Medicine and Dentistry, Belfast, Northern Ireland",Queen's University of Belfast,"Queen's University Belfast, 97 Lisburn Rd, Belfast BT9 7BL, UK"
"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland",Unparsed,"Royal Victoria Hospital, 274 Grosvenor Road, Belfast BT12 6BA, UK"
"Regional Intensive Care Unit, Royal Victoria Hospital, Belfast, Northern Ireland",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA  Email: xyyang@seasharvardedu",Harvard University ,"Peabody Terrace, Cambridge, MA 02138, USA"
"Division of Engineering in Medicine , Brigham and Women's Hospital , Harvard Medical School , Cambridge , Massachusetts 02139 , USA",Harvard Medical School ,"900 Commonwealth Ave, Boston, MA 02115, USA"
"School of Chemical Engineering , University of Birmingham , Birmingham B15 2TT , UK",University of Birmingham ,"University of Birmingham, S W Campus, Birmingham B15 2TT, UK"
"Universidad De La Salle Bajío , León , 37150 , México",Universidad De La Salle Bajío ,"Universidad de La Salle Bajío, Lomas del Campestre, 37150 León de los Aldama, Gto., Mexico"
"State Key Laboratory of Advanced Technology for Materials Synthesis and Processing , Wuhan University of Technology , 122 Luoshi Road , Wuhan , 430070 , China  Email: xyyang@whuteducn",Wuhan University of Technology ,"China, Hu Bei Sheng, Wu Han Shi, Qing Shan Qu, 和平大道947号 邮政编码: 430081"
"University of Groningen , University Medical Center Groningen , Department of Biomedical Engineering , Antonius Deusinglaan 1 , 9713 AV , Groningen , The Netherlands",University of Groningen ,"Hoendiepskade 23/24, 9718 BG Groningen, Netherlands"
"Laboratory of Inorganic Materials Chemistry , University of Namur , 61, rue de Bruxelles , 5000 Namur , Belgium  Email: bao-liansu@fundpacbe",University of Namur ,"Rue de Bruxelles 61, 5000 Namur, Belgium"
"Division of Hygiene and Medical Microbiology, Innsbruck Medical University, Fritz-Pregl-Straße 3, 6020 Innsbruck, Austria cornelialass-floerl@i-medacat",Innsbruck Medical University,"Christoph-Probst-Platz 1, Innrain 52 A, Fritz-Pregl-Straße 3, 6020 Innsbruck, Austria"
"Department of Inorganic Chemistry, School of Chemistry, Madurai Kamaraj University, Madurai, India",Madurai Kamaraj University,"Palkalai Nagar, Tamil Nadu 625021, India"
"Institute for Environmental Research, Department of Ecosystem Analysis, ABBt-Aachen Biology and Biotechnology, RWTH Aachen University , Worringerweg 1, 52074 Aachen, Germany",RWTH Aachen University ,"Worringerweg 1, 52074 Aachen, Germany"
"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary",University of Debrecen,"Debrecen, Nagyerdei krt. 94, 4032 Hungary"
"State Key Laboratory of Chemical Resource Engineering, Beijing University of Chemical Technology, Beijing, 100029, China yangwt@mailbucteducn zhaocw@mailbucteducn",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
"Industrial Biotechnology and Metabolic Engineering Laboratory, Department of Biotechnology, Graduate School of Natural and Applied Sciences, Middle East Technical University, Ankara, Turkey",Middle East Technical University,"Üniversiteler, Şht. Selami Atabey Cd. Ortadoğu Teknik Üniversitesi, 06800 Çankaya/Ankara, Türkiye"
"Dr Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
"Department of Genetics, Faculty of Veterinary Medicine, Van Yüzüncü Yıl University, Van, Turkey",Van Yüzüncü Yıl University,"Bardakçı, 65000 Van Merkez/Van, Türkiye"
"Department of Chemistry, Faculty of Science and Letters, Istanbul Technical University, Istanbul, Turkey",Istanbul Technical University,"Maslak, 34469 Sarıyer/İstanbul, Türkiye"
"Beijing Laboratory of Biomedical Materials, Beijing University of Chemical Technology, Beijing, 100029, China",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
"Key Laboratory of Biomedical Materials of Natural Macromolecules, Ministry of Education Beijing, Beijing University of Chemical Technology, Beijing, 100029, China",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
"Key Laboratory of Carbon Fiber and Functional Polymers Ministry of Education, Beijing University of Chemical Technology, Beijing, 100029, China",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
"Institute of Translational Medicine, Zhejiang University, Hangzhou, 310009, China",Zhejiang University,"China, Zhe Jiang Sheng, Hang Zhou Shi, Xi Hu Qu, 黄龙石虎山路746C+6Q3 邮政编码: 310058"
"Zhejiang Provincial Key Lab of Ophthalmology, Zhejiang University, Hangzhou, 310009, China",Zhejiang University,"866 Yu Hang Tang Lu, Xi Hu Qu, Hang Zhou Shi, Zhe Jiang Sheng, China, 310027"
"Research Center for Life Science and Human Health, Binjiang Institute of Zhejiang University, Hangzhou, 310053, China",Binjiang Institute of Zhejiang University,"54HX+3W2, Dong Xin Da Dao, Bin Jiang Qu, Hang Zhou Shi, Zhe Jiang Sheng, China, 310053"
"Beijing Laboratory of Biomedical Materials, Beijing University of Chemical Technology, Beijing 100029, China",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
"Key Laboratory of Biomedical Materials of Natural Macromolecules, Ministry of Education Beijing, Beijing University of Chemical Technology, Beijing 100029, China",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
"Key Laboratory of Carbon Fiber and Functional Polymers Ministry of Education, Beijing University of Chemical Technology, Beijing 100029, China",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
"Major in Integrative Bioscience and Biomedical Engineering, Graduate School of Science and Engineering, Waseda University, Shinjuku-ku, Tokyo, Japan",Waseda University,"2-2 Wakamatsuchō, Shinjuku City, Tokyo 162-0056, Japan"
"Department of Biology, Faculty of Education and Integrated Arts and Sciences, Waseda University, Shinjuku-ku, Tokyo, Japan",Waseda University,"3-chōme-4-1 Ōkubo, Shinjuku City, Tokyo 169-0072, Japan"
"Department of Animal Science, North Carolina State University, Raleigh, NC 27695, USA",North Carolina State University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA"
"Huvepharma, Inc, Peachtree City, GA, 30269, USA",Unparsed,"525 Westpark Dr, Peachtree City, GA 30269, USA"
"SVQV, INRA, Université de Strasbourg, Colmar, F-68000, France",Université de Strasbourg,"4 Rue Blaise Pascal, 67081 Strasbourg, France"
"Institut de Biologie Moléculaire des Plantes du CNRS, Université de Strasbourg, 12 rue du Général Zimmer, Strasbourg, 67084, France",Université de Strasbourg,"4 Rue Blaise Pascal, 67081 Strasbourg, France"
"Department of Chemical and Biomolecular Engineering, North Carolina State Universitygrid408033f, Raleigh, North Carolina, USA",North Carolina State Universitygrid.40803.3f,"Engineering Bldg I, 911 Partners Way room 2-009, Raleigh, NC 27606, USA"
"Department of Biochemistry and Molecular Biology, University of Georgia, Athens, Georgia, USA",University of Georgia,"Life Sciences Bldg, B122, Athens, GA 30602, USA"
"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA",University of Illinois at Urbana-Champaign,"1207 W Gregory Dr, Urbana, IL 61801, USA"
"AB Vista, Marlborough, United Kingdom",Unparsed,"Woodstock Ct, Marlborough SN8 4AN, UK"
"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA Electronic address: poultry@illinoisedu",University of Illinois at Urbana-Champaign,"Champaign, IL, USA"
"Processes Design and Development Department, Egyptian Petroleum Research Institute, Nasr City, Cairo, 11727, Egypt",Egyptian Petroleum Research Institute,"1 Ahmed El-Zomor, Al Manteqah Ath Thamenah, Nasr City, Cairo Governorate 4441312, Egypt"
"Qingdao C1 Refinery Engineering Research Center, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, 266101, China",Qingdao Institute of Bioenergy and Bioprocess Technology,"5F4P+4V9, Xin Yuan Lu, Lao Shan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266104"
"Shandong Energy Institute, Qingdao, 266101, China lvming@qibebtaccn",Shandong Energy Institute,"5F4P+4V9, Xin Yuan Lu, Lao Shan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266104"
"Shandong Energy Institute, Qingdao, 266101, China lifl@qibebtaccn",Shandong Energy Institute,"5F4P+4V9, Xin Yuan Lu, Lao Shan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266104"
"Institute of Dairy Science, College of Animal Sciences, Zhejiang University, Hangzhou, 310058, China",Zhejiang University,"866 Yu Hang Tang Lu, Xi Hu Qu, Hang Zhou Shi, Zhe Jiang Sheng, China, 310027"
"Institute of Dairy Science, College of Animal Sciences, Zhejiang University, Hangzhou, 310058, China Emirate14@zjueducn",Zhejiang University,"866 Yu Hang Tang Lu, Xi Hu Qu, Hang Zhou Shi, Zhe Jiang Sheng, China, 310027"
"State Key Laboratory of Animal Nutrition, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing, China",Institute of Animal Science,"China, Bei Jing Shi, Chao Yang Qu, Pan Jia Yuan Dong Lu, 潘家园南里5号 邮政编码: 100164"
"State Key Laboratory of Animal Nutrition, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing, China huanghuoqing@caascn",Institute of Animal Science,"China, Bei Jing Shi, Chao Yang Qu, Pan Jia Yuan Dong Lu, 潘家园南里5号 邮政编码: 100164"
"State Key Laboratory of Animal Nutrition, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing, China luohuiying@caascn",Institute of Animal Science,"China, Bei Jing Shi, Chao Yang Qu, Pan Jia Yuan Dong Lu, 潘家园南里5号 邮政编码: 100164"
"Ministry of Agriculture and Rural Affairs Key Laboratory for Crop Pest Monitoring and Green Control, China Agricultural University, Beijing, 100193, China",China Agricultural University,"China, Bei Jing Shi, Hai Dian Qu, 清华东路17号 邮政编码: 100107"
"The Sainsbury Laboratory, University of East Anglia, Norwich Research Park, Norwich, NR4 7UH, UK",University of East Anglia,"Research Park, Norwich NR4 7TJ, UK"
"Ministry of Agriculture and Rural Affairs Key Laboratory for Crop Pest Monitoring and Green Control, China Agricultural University, Beijing, 100193, China pengyl@caueducn",China Agricultural University,"China, Bei Jing Shi, Hai Dian Qu, 清华东路17号 邮政编码: 100107"
"Key Laboratory of Entomology and Pest Control Engineering, Academy of Agricultural Sciences, Southwest University, Chongqing, People's Republic of China",Southwest University,"China, Chong Qing Shi, Sha Ping Ba Qu, Song Lin Lu, 沙坪坝正街174号 邮政编码: 400044"
"Department of Biological Sciences, University of Illinois, Chicago, Illinois, United States of America",University of Illinois,"845 W Taylor St, Chicago, IL 60607, USA"
"Genetic Engineering Research Center, School of Life Sciences, Chongqing University, Chongqing, People's Republic of China",Chongqing University,"China, Chong Qing Shi, Sha Ping Ba Qu, Song Lin Lu, 沙坪坝正街174号 邮政编码: 400044"
"Department of Community Medicine, Manipal Tata Medical College, Manipal Academy of Higher Education, Jamshedpur, IND",Manipal Academy of Higher Education,"Freedom Infocom Pvt. Ltd, Medical Corridor, Tin Plate Basti, Jamshedpur, Jharkhand 831017, India"
"Department of Preventive and Social Medicine/Community Medicine, Shaheed Nirmal Mahto Medical College and Hospital (Erstwhile Patliputra Medical College), Dhanbad, IND",Shaheed Nirmal Mahto Medical College and Hospital (Erstwhile Patliputra Medical College),"Saraidhela Rd, Kusum Vihar, Lohar Kulli, Dhanbad, Saraidhella, Jharkhand 826005, India"
"Department of Community Medicine, Rajendra Institute of Medical Sciences, Ranchi, IND",Rajendra Institute of Medical Sciences,"Rims Cir, Jora Talab, Bariatu, Ranchi, Jharkhand 834009, India"
"Department of Community Medicine and Family Medicine, All India Institute of Medical Sciences, Deoghar, Deoghar, IND",All India Institute of Medical Sciences,"All India Institute of Medical Sciences, Deoghar, Rampur, Jharkhand 814152, India"
"Department of Community and Family Medicine, All India Institute of Medical Sciences, Deoghar, Deoghar, IND",All India Institute of Medical Sciences,"All India Institute of Medical Sciences, Deoghar, Rampur, Jharkhand 814152, India"
"Department of Preventive Medicine, Rajendra Institute of Medical Sciences, Ranchi, IND",Rajendra Institute of Medical Sciences,"Rims Cir, Jora Talab, Bariatu, Ranchi, Jharkhand 834009, India"
"Department of Community Medicine, Shaheed Nirmal Mahto Medical College and Hospital (Erstwhile Patliputra Medical College), Dhanbad, IND",Shaheed Nirmal Mahto Medical College and Hospital (Erstwhile Patliputra Medical College),"Saraidhela Rd, Kusum Vihar, Lohar Kulli, Dhanbad, Saraidhella, Jharkhand 826005, India"
"Department of Community Medicine, Mahatma Gandhi Memorial Medical College and Hospital, Jamshedpur, IND",Mahatma Gandhi Memorial Medical College and Hospital,"Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020, India"
"Department of Community Medicine, Medinirai Medical College, Palamu, IND",Medinirai Medical College,"Pokhraha Khurd, Medininagar, Jharkhand 822101, India"
"Department of Preventive Medicine, All India Institute of Medical Sciences, Bhubaneswar, Bhubaneswar, IND",All India Institute of Medical Sciences,"Sijua, Patrapada, Bhubaneswar, Odisha 751019, India"
"NTEP Technical Support Network, World Health Organization, Ranchi, IND",Unparsed,"Namkum, Ranchi, Jharkhand 834010, India"
"State TB Cell, Health Services, Government of Jharkhand, Ranchi, IND",Unparsed,"Room No 1 and 2 State RCH Campus - JHS Building, Namkum, Ranchi, Jharkhand 834010, India"
"Department of Community and Family Medicine, All India Institute of Medical Sciences, Rajkot, Rajkot, IND",All India Institute of Medical Sciences,"Silbharal Changsari, Silbharal, Guwahati, Changsari, Assam 781101, India"
"Department of Community Medicine, Pondicherry Institute of Medical Sciences, Pondicherry, IND",Pondicherry Institute of Medical Sciences,"Kalathumettupathai, Ganapathichettikulam Village No.20, Kalapet, Ganapathichettikulam, Puducherry 605014, India"
"Department of Community Medicine, Employees' State Insurance Corporation (ESIC) Medical College and Post Graduate Institute of Medical Science & Research (PGIMSR), Bengaluru, IND",Employees' State Insurance Corporation (ESIC) Medical College and Post Graduate Institute of Medical Science & Research (PGIMSR),"XHR3+7C6, 41st Cross Rd, Rajajinagar, Bengaluru, Karnataka 560010, India"
"Department of Clinical Research, Indian Council of Medical Research-National Institute for Research in Tuberculosis (ICMR-NIRT), Chennai, IND",Indian Council of Medical Research-National Institute for Research in Tuberculosis (ICMR-NIRT),"No.1, Mayor, Sathiyamoorthy St, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031, India"
"Department of Community Medicine/Preventive and Social Medicine, Rajendra Institute of Medical Sciences, Ranchi, IND",Rajendra Institute of Medical Sciences,"RIMS Compound, 99Q2+R36, Bariatu, Jora Talab, Bariatu, Ranchi, Jharkhand 834002, India"
"School of Food Science and Engineering, South China University of Technology, Guangzhou 510640, China",South China University of Technology,"582R+PR4, Da Yao Shan Lu, Tian He Qu, Guang Zhou Shi, Guang Dong Sheng, China, 510641"
"Shenzhen Raink Ecology & Environment Co, Ltd, Shenzhen 518102, China",Unparsed,"China, Shen Zhen Shi, Fu Tian Qu, CN 广东省 深圳市 福田区 F6 13-天祥大厦CD-4层4D 邮政编码: 518042"
"Department of Bioengineering, Instituto Superior Técnico, University of Lisbon, Av Rovisco Pais, 1049-001, Lisbon, Portugal",University of Lisbon,"Av. Rovisco Pais 1, 1049-001 Lisboa, Portugal"
"School of Clinical and Basic Medical Science, Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China",Shandong First Medical University (Shandong Academy of Medical Sciences),"China, Shan Dong Sheng, Tai An Shi, Dai Yue Qu, Nan Huan Lu, 长城路 邮政编码: 271000"
"School of Clinical and Basic Medical Science, Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China vector0518@126com",Shandong First Medical University (Shandong Academy of Medical Sciences),"China, Shan Dong Sheng, Tai An Shi, Dai Yue Qu, Nan Huan Lu, 长城路 邮政编码: 271000"
"School of Laboratory Animal (Shandong Laboratory Animal Center), Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China zhangrl_06@126com",Shandong First Medical University (Shandong Academy of Medical Sciences),"China, Shan Dong Sheng, Tai An Shi, Dai Yue Qu, Nan Huan Lu, 长城路 邮政编码: 271000"
"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA giocapovilla@gmailcom",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
"Department of Fysiologisk Botanik, Umeå Plant Science Centre (UPSC), Umeå University, Umeå, Sweden",Umeå University,"Parallellvägen 21, 907 36 Umeå, Sweden"
"Department of Biology, Indiana University, Bloomington, IN, USA",Indiana University,"1001 E 3rd St, Bloomington, IN 47405, USA"
"Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA chisholm@mitedu",Massachusetts Institute of Technology,"31 Ames St, Cambridge, MA 02139, USA"
"Graduate Program in Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA",Brown University,"Providence, RI 02906, USA"
"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA",Brown University,"Providence, RI 02906, USA"
"Graduate Program in Pathobiology, Brown University, Providence, Rhode Island, USA",Brown University,"75 Waterman St, Providence, RI 02912, USA"
"Department of Molecular Microbiology and Immunology, Brown University, Providence, Rhode Island, USA",Brown University,"Providence, RI 02906, USA"
"Center for Translational Neuroscience, Robert J and Nancy D Carney Institute for Brain Science and Brown Institute for Translational Science, Brown University, Providence, Rhode Island, USA",Brown University,"Brown University, 164 Angell St 4th floor, Providence, RI 02906, USA"
"Section of Pulmonary and Critical Care and Sleep Medicine, Dept of Medicine, Yale University School of Medicine, New Haven, CT, USA charlesdelacruz@yaleedu",Yale University School of Medicine,"300 Cedar St #441, New Haven, CT 06520, USA"
"Department of Microbiology and Immunology, University of Illinois Chicago, Chicago, Illinois, USA",University of Illinois Chicago,"250 E Superior St #565, Chicago, IL 60611, USA"
"The Pennsylvania State University, Plant Science, University Park, PA, USA",The Pennsylvania State University,"103 Tyson Bldg, University Park, PA 16802, USA"
"Department of Physiology and Biophysics, The University of Mississippi Medical Center, Jackson, MS, 39216, USA",The University of Mississippi Medical Center,"Emergency Room, 2500 N State St, Jackson, MS 39216, USA"
"The Pennsylvania State University, Plant Science, University Park, PA, USA dsl14@psuedu",The Pennsylvania State University,"State College, PA 16801, USA"
"Institute of Biotechnology and Environment, Tay Nguyen University, Buon Ma Thuot, Dak Lak 630000, Vietnam",Tay Nguyen University,"No 16 Trần Khát Chân, Street, Thành phố Buôn Ma Thuột, Đắk Lắk 630000, Vietnam"
"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA"
"Department of Pharmacology, Yale University School of Medicine, New Haven, Connecticut, USA",Yale University School of Medicine,"B208, 333 Cedar St Sterling Hall of Medicine, New Haven, CT 06510, USA"
"Frontiers Science Center for Deep Ocean Multispheres and Earth System, College of Marine Life Sciences, Ocean University of China, Qingdao, China",Ocean University of China,"387P+466, Da Xue Lu, Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266005"
"Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao, China",Ocean University of China,"China, Shan Dong Sheng, Qing Dao Shi, Shi Nan Qu, 学院路387Q+R57 邮政编码: 266005"
"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China",Agricultural Genomics Institute at Shenzhen,"China, Guang Dong Sheng, Shen Zhen Shi, Long Gang Qu, 15, 东北方向120米 邮政编码: 518120"
"Center for Anaerobic Microbes, Institute of Biology, Gansu Academy of Sciences, Lanzhou 730000, China",Institute of Biology,"Institute of Biology, Diliman, Quezon City, Metro Manila, Philippines"
"Beijing Animal Husbandry Station, Beijing 100107, China",Unparsed,"China, Bei Jing Shi, Chao Yang Qu, CN 北京市 朝阳区 北苑路 15 甲15号 邮政编码: 102218"
"College of Veterinary Medicine, Gansu Agricultural University, Lanzhou 730070, China",Gansu Agricultural University,"China, Gan Su Sheng, Lan Zhou Shi, An Ning Qu, 营门村1号 邮政编码: 730070"
"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA"
"USDA-ARS Center for Medical, Agricultural, and Veterinary Entomology, Gainesville, FL, United States of America",Unparsed,"USDA01, 1600 SW 23 Dr, Gainesville, FL 32608, USA"
"Discipline of Microbiology, School of Life Sciences, Westville Campus, University of KwaZulu-Natal, Durban, South Africa nivistisingh@gmailcom",University of KwaZulu-Natal,"Pitlochry Rd, Dawncrest, Westville, 3629, South Africa"
"Biorefinery Industry Development Facility, Council for Scientific and Industrial Research, Durban, South Africa",Unparsed,"395 Mazisi Kunene Rd, University, Berea, 4041, South Africa"
"Discipline of Microbiology, School of Life Sciences, Westville Campus, University of KwaZulu-Natal, Durban, South Africa",University of KwaZulu-Natal,"Pitlochry Rd, Dawncrest, Westville, 3629, South Africa"
"Department of Chemistry, COMSATS University Islamabad, Abbottabad Campus, Abbottabad 22060, Pakistan",COMSATS University Islamabad,"hostel city Line 12, Park Rd, Islamabad, Islamabad Capital Territory 45550, Pakistan"
