keyword,pubmedId,articleTitle,author_name,affiliation,institute,address
Lyticase,2228219,Partial biochemical characterization of cell surface hydrophobicity and hydrophilicity of Candida albicans,Hazen KC,"Division of Biological Sciences, University of Montana, Missoula 59812.",University of Montana,"Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
Lyticase,29910923,"A bilayered nanoshell for durable protection of single yeast cells against multiple, simultaneous hostile stimuli",Jiang N,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University ,"29 Oxford St, Cambridge, MA 02138, USA"
Lyticase,29910923,"A bilayered nanoshell for durable protection of single yeast cells against multiple, simultaneous hostile stimuli",Ying GL,"Division of Engineering in Medicine , Brigham and Women's Hospital , Harvard Medical School , Cambridge , Massachusetts 02139 , USA.",Harvard Medical School ,"900 Commonwealth Ave, Boston, MA 02115, USA"
Lyticase,29910923,"A bilayered nanoshell for durable protection of single yeast cells against multiple, simultaneous hostile stimuli",Yang XY,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University ,"29 Oxford St, Cambridge, MA 02138, USA"
Glucanase,34125212,Modulation of jejunal mucosa-associated microbiota in relation to intestinal health and nutrient digestibility in pigs by supplementation of β-glucanase to corn-soybean meal-based diets with xylanase,Duarte ME,"Department of Animal Science, North Carolina State University, Raleigh, NC 27695, USA.",North Carolina State University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA"
Glucanase,34125212,Modulation of jejunal mucosa-associated microbiota in relation to intestinal health and nutrient digestibility in pigs by supplementation of β-glucanase to corn-soybean meal-based diets with xylanase,Sparks C,"Huvepharma, Inc., Peachtree City, GA, 30269, USA.",Unparsed,"525 Westpark Dr, Peachtree City, GA 30269, USA"
Glucanase,34125212,Modulation of jejunal mucosa-associated microbiota in relation to intestinal health and nutrient digestibility in pigs by supplementation of β-glucanase to corn-soybean meal-based diets with xylanase,Kim SW,"Department of Animal Science, North Carolina State University, Raleigh, NC 27695, USA.",North Carolina State University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA"
Glucanase,36169328,Engineering Caldicellulosiruptor bescii with Surface Layer Homology Domain-Linked Glycoside Hydrolases Improves Plant Biomass Solubilization,Adams MWW,"Department of Biochemistry and Molecular Biology, University of Georgia, Athens, Georgia, USA.",University of Georgia,"Life Sciences Bldg, B122, Athens, GA 30602, USA"
Glucanase,37236039,"Effects of adaptation diet and exogenous enzymes on true metabolizable energy and cecal microbial ecology, short-chain fatty acid profile, and enzyme activity in roosters fed barley and rye diets",Anderson AG,"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA.",University of Illinois at Urbana-Champaign,"1207 W Gregory Dr, Urbana, IL 61801, USA"
Glucanase,37236039,"Effects of adaptation diet and exogenous enzymes on true metabolizable energy and cecal microbial ecology, short-chain fatty acid profile, and enzyme activity in roosters fed barley and rye diets",Parsons CM,"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA. Electronic address: poultry@illinois.edu.",University of Illinois at Urbana-Champaign,"Champaign, IL, USA"
Glucanase,37556475,Insect fungal pathogens secrete a cell wall-associated glucanase that acts to help avoid recognition by the host immune system,Keyhani NO,"Department of Biological Sciences, University of Illinois, Chicago, Illinois, United States of America.",University of Illinois,"845 W Taylor St, Chicago, IL 60607, USA"
Chitinase,37968300,Chitin degradation by Synechococcus WH7803,Capovilla G,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA. gio.capovilla@gmail.com.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
Chitinase,37968300,Chitin degradation by Synechococcus WH7803,Castro KG,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
Chitinase,37968300,Chitin degradation by Synechococcus WH7803,Kearney SM,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
Chitinase,37968300,Chitin degradation by Synechococcus WH7803,Kehoe DM,"Department of Biology, Indiana University, Bloomington, IN, USA.",Indiana University,"1001 E 3rd St, Bloomington, IN 47405, USA"
Chitinase,37968300,Chitin degradation by Synechococcus WH7803,Chisholm SW,"Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA. chisholm@mit.edu.",Massachusetts Institute of Technology,"32 Vassar St, Cambridge, MA 02139, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,Connolly K,"Graduate Program in Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,Lehoux M,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,O'Rourke R,"Graduate Program in Pathobiology, Brown University, Providence, Rhode Island, USA.",Brown University,"75 Waterman St, Providence, RI 02912, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,Assetta B,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,Erdemir GA,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,Elias JA,"Department of Molecular Microbiology and Immunology, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,Lee CG,"Department of Molecular Microbiology and Immunology, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
Chitinase,35234337,Potential role of chitinase-3-like protein 1 (CHI3L1/YKL-40) in neurodegeneration and Alzheimer's disease,Huang YA,"Center for Translational Neuroscience, Robert J. and Nancy D. Carney Institute for Brain Science and Brown Institute for Translational Science, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, 164 Angell St 4th floor, Providence, RI 02906, USA"
Chitinase,32350087,Chitotriosidase: a marker and modulator of lung disease,Dela Cruz CS,"Section of Pulmonary and Critical Care and Sleep Medicine, Dept of Medicine, Yale University School of Medicine, New Haven, CT, USA charles.delacruz@yale.edu.",Yale University School of Medicine,"300 Cedar St #441, New Haven, CT 06520, USA"
Chitinase,37255426,Bacterial Chitinases and Their Role in Human Infection,Devlin JR,"Department of Microbiology and Immunology, University of Illinois Chicago, Chicago, Illinois, USA.",University of Illinois Chicago,"250 E Superior St #565, Chicago, IL 60611, USA"
Chitinase,37255426,Bacterial Chitinases and Their Role in Human Infection,Behnsen J,"Department of Microbiology and Immunology, University of Illinois Chicago, Chicago, Illinois, USA.",University of Illinois Chicago,"250 E Superior St #565, Chicago, IL 60611, USA"
Chitinase,34056671,Maize Endochitinase Expression in Response to Fall Armyworm Herbivory,Han Y,"The Pennsylvania State University, Plant Science, University Park, PA, USA.",The Pennsylvania State University,"103 Tyson Bldg, University Park, PA 16802, USA"
Chitinase,34056671,Maize Endochitinase Expression in Response to Fall Armyworm Herbivory,Taylor EB,"Department of Physiology and Biophysics, The University of Mississippi Medical Center, Jackson, MS, 39216, USA.",The University of Mississippi Medical Center,"Emergency Room, 2500 N State St, Jackson, MS 39216, USA"
Chitinase,34056671,Maize Endochitinase Expression in Response to Fall Armyworm Herbivory,Luthe D,"The Pennsylvania State University, Plant Science, University Park, PA, USA. dsl14@psu.edu.",The Pennsylvania State University,"103 Tyson Bldg, University Park, PA 16802, USA"
Chitinase,35481637,"Structure-function analysis of cysteine residues in the plasmodium falciparum chitinase, PfCHT1",Kaur H,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA"
Chitinase,35481637,"Structure-function analysis of cysteine residues in the plasmodium falciparum chitinase, PfCHT1",Garber L,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA"
Chitinase,35481637,"Structure-function analysis of cysteine residues in the plasmodium falciparum chitinase, PfCHT1",Murphy JW,"Department of Pharmacology, Yale University School of Medicine, New Haven, Connecticut, USA.",Yale University School of Medicine,"B208, 333 Cedar St Sterling Hall of Medicine, New Haven, CT 06510, USA"
Chitinase,35481637,"Structure-function analysis of cysteine residues in the plasmodium falciparum chitinase, PfCHT1",Vinetz JM,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA"
β-Glucosidase,35224403,Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering,Morsby JJ,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
β-Glucosidase,35224403,Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering,Thimes RL,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
β-Glucosidase,35224403,Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering,Olson JE,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
β-Glucosidase,35224403,Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering,McGarraugh HH,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
β-Glucosidase,35224403,Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering,Payne JN,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
β-Glucosidase,35224403,Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering,Camden JP,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
β-Glucosidase,35224403,Enzyme Sensing Using 2-Mercaptopyridine-Carbonitrile Reporters and Surface-Enhanced Raman Scattering,Smith BD,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
β-Glucosidase,37643188,"Expression, activity, and consequences of biochemical inhibition of α- and β-glucosidases in different life stages of Culex quinquefasciatus",Burgess ER,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA"
β-Glucosidase,37643188,"Expression, activity, and consequences of biochemical inhibition of α- and β-glucosidases in different life stages of Culex quinquefasciatus",Sanscrainte ND,"USDA-ARS Center for Medical, Agricultural, and Veterinary Entomology, Gainesville, FL, United States of America.",Unparsed,"USDA01, 1600 SW 23 Dr, Gainesville, FL 32608, USA"
β-Glucosidase,37643188,"Expression, activity, and consequences of biochemical inhibition of α- and β-glucosidases in different life stages of Culex quinquefasciatus",Taylor CE,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA"
β-Glucosidase,37643188,"Expression, activity, and consequences of biochemical inhibition of α- and β-glucosidases in different life stages of Culex quinquefasciatus",Buss LJ,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA"
β-Glucosidase,37643188,"Expression, activity, and consequences of biochemical inhibition of α- and β-glucosidases in different life stages of Culex quinquefasciatus",Estep AS,"USDA-ARS Center for Medical, Agricultural, and Veterinary Entomology, Gainesville, FL, United States of America.",Unparsed,"USDA01, 1600 SW 23 Dr, Gainesville, FL 32608, USA"
Glucosidase,37764324,Bioactivity-Guided Synthesis: In Silico and In Vitro Studies of ,Farooq U,"Beijing National Laboratory for Molecular Sciences, State Key Laboratory of Molecular Reaction Dynamics, Institute of Chemistry, Chinese Academy of Sciences, Beijing 100190, China.",Institute of Chemistry,"Pasadena, CA 91125, USA"
Glucosaminidase,35302753,Advances in Optical Sensors of ,Morsby JJ,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, United States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
Glucosaminidase,35302753,Advances in Optical Sensors of ,Smith BD,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, United States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
Glucosaminidase,36757204,Masters of Misdirection: Peptidoglycan Glycosidases in Bacterial Growth,Weaver A,"Department of Microbiology, Blavatnik Institute, Harvard Medical School, Boston, Massachusetts, USA.",Blavatnik Institute,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Glucosaminidase,36757204,Masters of Misdirection: Peptidoglycan Glycosidases in Bacterial Growth,Dörr T,"Cornell Institute of Host-Microbe Interactions and Disease, Cornell University, Ithaca, New York, USA.",Cornell University,"304, Rice Hall, 340 Tower Rd, Ithaca, NY 14853, USA"
Glucosaminidase,37488890,Mucopolysaccharidosis type IIIB: a current review and exploration of the AAV therapy landscape,Rouse CJ,"Lacerta Therapeutics, Alachua, FL, USA.",Unparsed,"14189 N W 129th Way, Alachua, FL 32615, USA"
Glucosaminidase,37488890,Mucopolysaccharidosis type IIIB: a current review and exploration of the AAV therapy landscape,Jensen VN,"Lacerta Therapeutics, Alachua, FL, USA.",Unparsed,"14189 N W 129th Way, Alachua, FL 32615, USA"
Glucosaminidase,37488890,Mucopolysaccharidosis type IIIB: a current review and exploration of the AAV therapy landscape,Heldermon CD,"University of Florida College of Medicine, Gainesville, FL, USA.",University of Florida College of Medicine,"1600 SW Archer Rd, Gainesville, FL 32610, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Ducey TF,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Novak JM,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Sigua GC,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Ippolito JA,"Department of Soil and Crop Sciences, Colorado State University, Fort Collins CO, USA.",Colorado State University,"307 University Ave, Fort Collins, CO 80521, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Rushmiller HC,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Watts DW,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Trippe KM,"National Forage Seed Production Research Center, Agricultural Research Service-USDA, Corvallis OR, USA.",Unparsed,"3450 SW Campus Way, Corvallis, OR 97331, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Spokas KA,"Soil and Water Management Research Unit, Agricultural Research Service-USDA, St. Paul MN, USA.",Unparsed,"1991 Upper Buford Cir # 454, St Paul, MN 55108, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Stone KC,"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA.",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA"
Glucosaminidase,35128320,Microbial response to designer biochar and compost treatments for mining impacted soils,Johnson MG,"National Health and Environmental Effects Research Laboratory, US Environmental Protection Agency, Corvallis OR, USA.",National Health and Environmental Effects Research Laboratory,"200 SW 35th St, Corvallis, OR 97333, USA"
Glucosaminidase,32291269,"A Pharmacologic ""Stress Test"" for Assessing Select Antioxidant Defenses in Patients with CKD",Zager RA,"Department of Medicine, The University of Washington, Seattle, Washington.",The University of Washington,"1959 NE Pacific St, Seattle, WA 98195, USA"
Glucosaminidase,32291269,"A Pharmacologic ""Stress Test"" for Assessing Select Antioxidant Defenses in Patients with CKD",Johnson ACM,"Clinical Research Division, The Fred Hutchinson Cancer Research Center, Seattle, Washington.",Unparsed,"1100 Fairview Ave N, Seattle, WA 98109, USA"
Glucosaminidase,32291269,"A Pharmacologic ""Stress Test"" for Assessing Select Antioxidant Defenses in Patients with CKD",Guillem A,"Renibus Therapeutics, Southlake, Texas.",Unparsed,"181 Grand Ave Suite 225, Southlake, TX 76092, USA"
Glucosaminidase,32291269,"A Pharmacologic ""Stress Test"" for Assessing Select Antioxidant Defenses in Patients with CKD",Keyser J,"Renibus Therapeutics, Southlake, Texas.",Unparsed,"181 Grand Ave Suite 225, Southlake, TX 76092, USA"
Glucosaminidase,32291269,"A Pharmacologic ""Stress Test"" for Assessing Select Antioxidant Defenses in Patients with CKD",Singh B,"Department of Medicine, The University of California, Irvine, California.",The University of California,"1001 Health Sciences Rd, Irvine, CA 92617, USA"
Glucosaminidase,36861850,The root canal microbiome diversity and function A whole-metagenome shotgun analysis,Ordinola-Zapata R,"Division of Endodontics, Department of Restorative Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"Malcolm Moos Health Sciences Tower, 515 Delaware St SE Room 8-166, Minneapolis, MN 55455, USA"
Glucosaminidase,36861850,The root canal microbiome diversity and function A whole-metagenome shotgun analysis,Costalonga M,"Division of Basic Sciences, Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"Malcolm Moos Health Sciences Tower, 515 Delaware St SE, Minneapolis, MN 55455, USA"
Glucosaminidase,36861850,The root canal microbiome diversity and function A whole-metagenome shotgun analysis,Dietz M,"Division of Basic & Translational Research, Department of Surgery, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"McGuire Translational Research Facility, 2001 6th St SE, Minneapolis, MN 55455, USA"
Glucosaminidase,36861850,The root canal microbiome diversity and function A whole-metagenome shotgun analysis,Lima BP,"Division of Basic Sciences, Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"Malcolm Moos Health Sciences Tower, 515 Delaware St SE, Minneapolis, MN 55455, USA"
Glucosaminidase,36861850,The root canal microbiome diversity and function A whole-metagenome shotgun analysis,Staley C,"Division of Basic & Translational Research, Department of Surgery, University of Minnesota, Minneapolis, Minnesota, USA.",University of Minnesota,"McGuire Translational Research Facility, 2001 6th St SE, Minneapolis, MN 55455, USA"
Glucosaminidase,36414253,Coupling Novel Probes with Molecular Localization Microscopy Reveals Cell Wall Homeostatic Mechanisms in ,DeMeester K,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"Brown Laboratory, Newark, DE 19716, USA"
Glucosaminidase,36414253,Coupling Novel Probes with Molecular Localization Microscopy Reveals Cell Wall Homeostatic Mechanisms in ,Liang H,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"Brown Laboratory, Newark, DE 19716, USA"
Glucosaminidase,36414253,Coupling Novel Probes with Molecular Localization Microscopy Reveals Cell Wall Homeostatic Mechanisms in ,Santiago C,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"Brown Laboratory, Newark, DE 19716, USA"
Glucosaminidase,36414253,Coupling Novel Probes with Molecular Localization Microscopy Reveals Cell Wall Homeostatic Mechanisms in ,Leimkuhler Grimes C,"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States.",University of Delaware,"Brown Laboratory, Newark, DE 19716, USA"
Glucosaminidase,31717357,Thermophile Lytic Enzyme Fusion Proteins that Target ,Swift SM,"Contrafect Corporation., Yonkers, NY 10701, USA.",Unparsed,"28 Wells Ave 3rd floor, Yonkers, NY 10701, USA"
Glucosaminidase,31717357,Thermophile Lytic Enzyme Fusion Proteins that Target ,Reid KP,"Animal Biosciences and Biotechnology Laboratory, United States Department of Agricultural (USDA), Agricultural Research Service, Baltimore Avenue, Beltsville, MD 10300, USA.",Animal Biosciences and Biotechnology Laboratory,"Baltimore Ave, Beltsville, MD, USA"
Glucosaminidase,31717357,Thermophile Lytic Enzyme Fusion Proteins that Target ,Donovan DM,"Department of Biology, Morgan State University, Baltimore, MD 21251, USA.",Morgan State University,"1700 E Cold Spring Ln, Baltimore, MD 21251, USA"
Glucosaminidase,31717357,Thermophile Lytic Enzyme Fusion Proteins that Target ,Ramsay TG,"Animal Biosciences and Biotechnology Laboratory, United States Department of Agricultural (USDA), Agricultural Research Service, Baltimore Avenue, Beltsville, MD 10300, USA.",Animal Biosciences and Biotechnology Laboratory,"Baltimore Ave, Beltsville, MD, USA"
