doi,keyword,given_name,family_name,affiliation,address
10.1177/0300985817698207,Lyticase,Jan S.,Suchodolski,"Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Gabriel,Gomez,"Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA","483 Agronomy Rd, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Joanne,Mansell,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Aline Rodrigues,Hoffmann,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1002/etc.5445,Lyticase,Eszter,Simon,Swiss Centre for Applied Ecotoxicology  Dübendorf Switzerland,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Lyticase,Carolin,Riegraf,Swiss Centre for Applied Ecotoxicology  Dübendorf Switzerland,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Lyticase,Andrea,Schifferli,Swiss Centre for Applied Ecotoxicology  Dübendorf Switzerland,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Lyticase,Daniel,Olbrich,Swiss Centre for Applied Ecotoxicology  Dübendorf Switzerland,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Lyticase,Thomas,Bucher,Swiss Centre for Applied Ecotoxicology  Dübendorf Switzerland,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Lyticase,Etiënne L. M.,Vermeirssen,Swiss Centre for Applied Ecotoxicology  Dübendorf Switzerland,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.4049/jimmunol.2000447,Lyticase,Qian,Meng,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Pei-Pei,Wu,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Miao-Miao,Li,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Rui-Hao,Shu,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Gui-Ling,Zhou,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Ji-Hong,Zhang,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Huan,Zhang,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Haobo,Jiang,"‡Department of Entomology and Plant Pathology, Oklahoma State University, Stillwater, OK; and","301, Physical Sciences, Stillwater, OK 74075, USA"
10.4049/jimmunol.2000447,Lyticase,Qi-Lian,Qin,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.4049/jimmunol.2000447,Lyticase,Zhen,Zou,"*State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China;","X8W4+WC4, Qing Hua Xi Lu, Hai Dian Qu, Bei Jing Shi, China, 100084"
10.1128/AAC.04650-14,Lyticase,Katrijn,De Brucker,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Yulong,Tan,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Katlijn,Vints,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Kaat,De Cremer,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Annabel,Braem,"Department of Materials Engineering, MTM, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 44/bus 2450, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Natalie,Verstraeten,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Jan,Michiels,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Jef,Vleugels,"Department of Materials Engineering, MTM, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 44/bus 2450, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Bruno P. A.,Cammue,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Lyticase,Karin,Thevissen,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium","Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/jb.173.10.3101-3108.1991,Lyticase,J L,Patton,"Department of Biochemistry, University of Kentucky, Lexington 40536.","145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
10.1128/jb.173.10.3101-3108.1991,Lyticase,R L,Lester,"Department of Biochemistry, University of Kentucky, Lexington 40536.","145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
10.1128/jb.173.23.7429-7435.1991,Lyticase,C C,Adams,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.","1501 Kings Hwy, Shreveport, LA 71103, USA"
10.1128/jb.173.23.7429-7435.1991,Lyticase,D S,Gross,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.","1501 Kings Hwy, Shreveport, LA 71103, USA"
10.1155/2013/268249,Lyticase,Ravi N.,Vellanki,"Centre for Biotechnology, Institute of Science and Technology, Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Andhra Pradesh 500085, India","room no.G5,cps,ist,jntuh, Ashok Nagar, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085, India"
10.1155/2013/268249,Lyticase,Ravichandra,Potumarthi,"Department of Chemical Engineering, Monash University, Clayton, VIC 3800, Australia","Engineering 72, 14 Alliance Ln, Clayton VIC 3168, Australia"
10.1155/2013/268249,Lyticase,Kiran K.,Doddapaneni,"Centre for Biotechnology, Institute of Science and Technology, Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Andhra Pradesh 500085, India","room no.G5,cps,ist,jntuh, Ashok Nagar, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085, India"
10.1155/2013/268249,Lyticase,Naveen,Anubrolu,"Centre for Biotechnology, Institute of Science and Technology, Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Andhra Pradesh 500085, India","room no.G5,cps,ist,jntuh, Ashok Nagar, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085, India"
10.1155/2013/268249,Lyticase,Lakshmi N.,Mangamoori,"Centre for Biotechnology, Institute of Science and Technology, Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Andhra Pradesh 500085, India","room no.G5,cps,ist,jntuh, Ashok Nagar, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085, India"
10.1128/iai.58.11.3469-3476.1990,Lyticase,K C,Hazen,"Division of Biological Sciences, University of Montana, Missoula 59812.","Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
10.1128/iai.58.11.3469-3476.1990,Lyticase,J G,Lay,"Division of Biological Sciences, University of Montana, Missoula 59812.","Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
10.1128/iai.58.11.3469-3476.1990,Lyticase,B W,Hazen,"Division of Biological Sciences, University of Montana, Missoula 59812.","Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
10.1128/iai.58.11.3469-3476.1990,Lyticase,R C,Fu,"Division of Biological Sciences, University of Montana, Missoula 59812.","Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
10.1128/iai.58.11.3469-3476.1990,Lyticase,S,Murthy,"Division of Biological Sciences, University of Montana, Missoula 59812.","Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
10.1128/iai.63.4.1253-1257.1995,Lyticase,E,Blasi,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.","Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.1128/iai.63.4.1253-1257.1995,Lyticase,L,Pitzurra,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.","Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.1128/iai.63.4.1253-1257.1995,Lyticase,A R,Chimienti,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.","Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.1128/iai.63.4.1253-1257.1995,Lyticase,R,Mazzolla,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.","Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.1128/iai.63.4.1253-1257.1995,Lyticase,M,Puliti,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.","Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.1128/iai.63.4.1253-1257.1995,Lyticase,R,Barluzzi,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.","Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.1128/iai.63.4.1253-1257.1995,Lyticase,F,Bistoni,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.","Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.14202/vetworld.2020.1030-1036,Lyticase,Olga,Bazarkina,"Department of Management and Economy in Pharmacy, Medical Institute, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia.","ul. Miklukho-Maklaya, 8, Moskva, Russia, 117198"
10.1128/jb.142.2.414-423.1980,Lyticase,Janet H.,Scott,"Biochemistry Department, University of California, Berkeley, California 94720","Weill Hall, #3200, Berkeley, CA 94720, USA"
10.1128/jb.142.2.414-423.1980,Lyticase,Randy,Schekman,"Biochemistry Department, University of California, Berkeley, California 94720","Weill Hall, #3200, Berkeley, CA 94720, USA"
10.2144/01305st05,Lyticase,R. Le,Guével,"Université de Rennes, Rennes, France","Rue du Thabor, 35000 Rennes, France"
10.2144/01305st05,Lyticase,F.,Pakdel,"Université de Rennes, Rennes, France","Rue du Thabor, 35000 Rennes, France"
10.1590/s0100-879x2004001000003,Lyticase,R.A.,Cavalheiro,"Universidade Estadual de Campinas, Brasil","Cidade Universitária Zeferino Vaz - Barão Geraldo, Campinas - SP, 13083-970, Brazil"
10.1590/s0100-879x2004001000003,Lyticase,F.,Fortes,"Universidade Estadual de Campinas, Brasil","Cidade Universitária Zeferino Vaz - Barão Geraldo, Campinas - SP, 13083-970, Brazil"
10.1590/s0100-879x2004001000003,Lyticase,J.,Borecký,"Universidade Estadual de Campinas, Brasil","Cidade Universitária Zeferino Vaz - Barão Geraldo, Campinas - SP, 13083-970, Brazil"
10.1590/s0100-879x2004001000003,Lyticase,V.C.,Faustinoni,"Universidade Estadual de Campinas, Brasil","Cidade Universitária Zeferino Vaz - Barão Geraldo, Campinas - SP, 13083-970, Brazil"
10.1590/s0100-879x2004001000003,Lyticase,A.Z.,Schreiber,"Universidade Estadual de Campinas, Brasil","Cidade Universitária Zeferino Vaz - Barão Geraldo, Campinas - SP, 13083-970, Brazil"
10.1099/jmm.0.47617-0,Lyticase,L.,Metwally,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland","274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Lyticase,D. J.,Fairley,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland","274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Lyticase,P. V.,Coyle,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland","274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Lyticase,R. J.,Hay,"Queen's University of Belfast, School of Medicine and Dentistry, Belfast, Northern Ireland","Queen's University Belfast, 97 Lisburn Rd, Belfast BT9 7BL, UK"
10.1099/jmm.0.47617-0,Lyticase,S.,Hedderwick,"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland","Westlink, Belfast BT12, UK"
10.1099/jmm.0.47617-0,Lyticase,B.,McCloskey,"Regional Intensive Care Unit, Royal Victoria Hospital, Belfast, Northern Ireland","274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Lyticase,H. J.,O'Neill,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland","274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Lyticase,C. H.,Webb,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland","274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Lyticase,W.,Elbaz,"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland","Westlink, Belfast BT12, UK"
10.1099/jmm.0.47617-0,Lyticase,R.,McMullan,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland","274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1039/c8sc01130c,Lyticase,Nan,Jiang,State Key Laboratory of Advanced Technology for Materials Synthesis and Processing,"Los Angeles, CA 90007, USA"
10.1039/c8sc01130c,Lyticase,Guo-Liang,Ying,School of Materials Science and Engineering,"Hilmer Building (E10), Union Rd, UNSW Sydney, Kensington NSW 2052, Australia"
10.1039/c8sc01130c,Lyticase,Ali K.,Yetisen,School of Chemical Engineering,"5531 Boelter Hall, Los Angeles, CA 90095, USA"
10.1039/c8sc01130c,Lyticase,Yunuen,Montelongo,Universidad De La Salle Bajío,"Blvd. Juan Alonso de Torres Pte. 3602, San Cayetano de Medina, 37458 León de los Aldama, Gto., Mexico"
10.1039/c8sc01130c,Lyticase,Ling,Shen,State Key Laboratory of Advanced Technology for Materials Synthesis and Processing,"Los Angeles, CA 90007, USA"
10.1039/c8sc01130c,Lyticase,Yu-Xuan,Xiao,State Key Laboratory of Advanced Technology for Materials Synthesis and Processing,"Los Angeles, CA 90007, USA"
10.1039/c8sc01130c,Lyticase,Henk J.,Busscher,University of Groningen,"Hoendiepskade 23/24, 9718 BG Groningen, Netherlands"
10.1039/c8sc01130c,Lyticase,Xiao-Yu,Yang,State Key Laboratory of Advanced Technology for Materials Synthesis and Processing,"Los Angeles, CA 90007, USA"
10.1039/c8sc01130c,Lyticase,Bao-Lian,Su,State Key Laboratory of Advanced Technology for Materials Synthesis and Processing,"Los Angeles, CA 90007, USA"
10.1139/w11-064,Lyticase,C.,Lass-Flörl,"Division of Hygiene and Medical Microbiology, Innsbruck Medical University, Fritz-Pregl-Straße 3, 6020 Innsbruck, Austria.","Schöpfstraße 41, 6020 Innsbruck, Austria"
10.4155/tde.10.114,Lyticase,Ramanathan,Lakshminarayanan,"Department of Inorganic Chemistry, School of Chemistry, Madurai Kamaraj University, Madurai, India","Palkalai Nagar, Tamil Nadu 625021, India"
10.4155/tde.10.114,Lyticase,Ellina,Kesselman,"Department of Biotechnology & Food Engineering, Technion, Israel Institute of Technology, Haifa 32000, Israel","הטכניון, חיפה, Israel"
10.4155/tde.10.114,Lyticase,Revital,Cohen,"Department of Biotechnology & Food Engineering, Technion, Israel Institute of Technology, Haifa 32000, Israel","הטכניון, חיפה, Israel"
10.4155/tde.10.114,Lyticase,Periakaruppan,Athappan,"Department of Inorganic Chemistry, School of Chemistry, Madurai Kamaraj University, Madurai, India","Palkalai Nagar, Tamil Nadu 625021, India"
10.1021/es405731j,Lyticase,Markus,Brinkmann,"Institutefor Environmental Research, Department of Ecosystem Analysis, ABBt—AachenBiology and Biotechnology, RWTH Aachen University, Worringerweg 1, 52074 Aachen, Germany","Worringerweg 1, 52074 Aachen, Germany"
10.1021/es405731j,Lyticase,Sibylle,Maletz,"Institutefor Environmental Research, Department of Ecosystem Analysis, ABBt—AachenBiology and Biotechnology, RWTH Aachen University, Worringerweg 1, 52074 Aachen, Germany","Worringerweg 1, 52074 Aachen, Germany"
10.1021/es405731j,Lyticase,Kerstin,Bluhm,"Institutefor Environmental Research, Department of Ecosystem Analysis, ABBt—AachenBiology and Biotechnology, RWTH Aachen University, Worringerweg 1, 52074 Aachen, Germany","Worringerweg 1, 52074 Aachen, Germany"
10.1021/es405731j,Lyticase,Sabrina,Schiwy,"Institutefor Environmental Research, Department of Ecosystem Analysis, ABBt—AachenBiology and Biotechnology, RWTH Aachen University, Worringerweg 1, 52074 Aachen, Germany","Worringerweg 1, 52074 Aachen, Germany"
10.1021/es405731j,Lyticase,Jochen,Kuckelkorn,"Institutefor Environmental Research, Department of Ecosystem Analysis, ABBt—AachenBiology and Biotechnology, RWTH Aachen University, Worringerweg 1, 52074 Aachen, Germany","Worringerweg 1, 52074 Aachen, Germany"
10.1021/es405731j,Lyticase,Henner,Hollert,"Institutefor Environmental Research, Department of Ecosystem Analysis, ABBt—AachenBiology and Biotechnology, RWTH Aachen University, Worringerweg 1, 52074 Aachen, Germany","Worringerweg 1, 52074 Aachen, Germany"
10.1002/jobm.201700545,Lyticase,Melinda,Szilágyi,Faculty of Science and Technology Department of Biotechnology and Microbiology University of Debrecen Debrecen Hungary,"Debrecen, Nagyerdei krt. 94, 4032 Hungary"
10.1002/jobm.201700545,Lyticase,Fruzsina,Anton,Faculty of Science and Technology Department of Biotechnology and Microbiology University of Debrecen Debrecen Hungary,"Debrecen, Nagyerdei krt. 94, 4032 Hungary"
10.1002/jobm.201700545,Lyticase,István,Pócsi,Faculty of Science and Technology Department of Biotechnology and Microbiology University of Debrecen Debrecen Hungary,"Debrecen, Nagyerdei krt. 94, 4032 Hungary"
10.1002/jobm.201700545,Lyticase,Tamás,Emri,Faculty of Science and Technology Department of Biotechnology and Microbiology University of Debrecen Debrecen Hungary,"Debrecen, Nagyerdei krt. 94, 4032 Hungary"
10.1039/c8cc01311j,Lyticase,Guan,Wang,State Key Laboratory of Chemical Resource Engineering,"57 Tong Qing Jie, Xi Gang Qu, Da Lian Shi, Liao Ning Sheng, China, 116011"
10.1039/c8cc01311j,Lyticase,Kai,Zhang,State Key Laboratory of Chemical Resource Engineering,"57 Tong Qing Jie, Xi Gang Qu, Da Lian Shi, Liao Ning Sheng, China, 116011"
10.1039/c8cc01311j,Lyticase,Yindian,Wang,State Key Laboratory of Chemical Resource Engineering,"57 Tong Qing Jie, Xi Gang Qu, Da Lian Shi, Liao Ning Sheng, China, 116011"
10.1039/c8cc01311j,Lyticase,Changwen,Zhao,State Key Laboratory of Chemical Resource Engineering,"57 Tong Qing Jie, Xi Gang Qu, Da Lian Shi, Liao Ning Sheng, China, 116011"
10.1039/c8cc01311j,Lyticase,Bin,He,State Key Laboratory of Chemical Resource Engineering,"57 Tong Qing Jie, Xi Gang Qu, Da Lian Shi, Liao Ning Sheng, China, 116011"
10.1039/c8cc01311j,Lyticase,Yuhong,Ma,Key Laboratory of Carbon Fiber and Functional Polymers Ministry of Education,"XCCF+C6P, Ying Hua Yuan Dong Jie, Chao Yang Qu, Bei Jing Shi, China, 100013"
10.1039/c8cc01311j,Lyticase,Wantai,Yang,State Key Laboratory of Chemical Resource Engineering,"57 Tong Qing Jie, Xi Gang Qu, Da Lian Shi, Liao Ning Sheng, China, 116011"
10.1002/cpps.101,Lyticase,Sibel,Öztürk,"Biochemical Reaction Engineering Laboratory, Department of Chemical Engineering Middle East Technical University  Ankara Turkey","Kimya A, B, C, D Blok,Üniversiteler,06800 Çankaya/Ankara,Türkiye, Üniversiteler, DEPARTMENT OF CHEMISTRY, METU, 06800 Çankaya/Ankara, Türkiye"
10.1002/cpps.101,Lyticase,İrem,Demir,"Biochemical Reaction Engineering Laboratory, Department of Chemical Engineering Middle East Technical University  Ankara Turkey","Kimya A, B, C, D Blok,Üniversiteler,06800 Çankaya/Ankara,Türkiye, Üniversiteler, DEPARTMENT OF CHEMISTRY, METU, 06800 Çankaya/Ankara, Türkiye"
10.1002/cpps.101,Lyticase,Pınar,Çalık,"Biochemical Reaction Engineering Laboratory, Department of Chemical Engineering Middle East Technical University  Ankara Turkey","Kimya A, B, C, D Blok,Üniversiteler,06800 Çankaya/Ankara,Türkiye, Üniversiteler, DEPARTMENT OF CHEMISTRY, METU, 06800 Çankaya/Ankara, Türkiye"
10.1002/yea.3514,Lyticase,Ergi,Terzioğlu,"Department of Molecular Biology and Genetics, Faculty of Science and Letters Istanbul Technical University  Istanbul Turkey","Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Lyticase,Ceren,Alkım,"Department of Molecular Biology and Genetics, Faculty of Science and Letters Istanbul Technical University  Istanbul Turkey","Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Lyticase,Mevlüt,Arslan,"Department of Genetics, Faculty of Veterinary Medicine Van Yüzüncü Yıl University  Van Turkey","Bardakçı, 65000 Van Merkez/Van, Türkiye"
10.1002/yea.3514,Lyticase,Berrak Gülçin,Balaban,"Department of Molecular Biology and Genetics, Faculty of Science and Letters Istanbul Technical University  Istanbul Turkey","Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Lyticase,Can,Holyavkin,"Department of Molecular Biology and Genetics, Faculty of Science and Letters Istanbul Technical University  Istanbul Turkey","Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Lyticase,Halil İbrahim,Kısakesen,"Department of Molecular Biology and Genetics, Faculty of Science and Letters Istanbul Technical University  Istanbul Turkey","Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Lyticase,Alican,Topaloğlu,"Department of Molecular Biology and Genetics, Faculty of Science and Letters Istanbul Technical University  Istanbul Turkey","Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
