doi,author_name,given_name,family_name,keyword,pubmed_id,affiliation,institute,address
10.1099/jmm.0.47617-0,Coyle PV,P. V.,Coyle,Lyticase,18287291,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Hay RJ,R. J.,Hay,Lyticase,18287291,"Queen's University of Belfast, School of Medicine and Dentistry, Belfast, Northern Ireland.",Queen's University of Belfast,"Queen's University Belfast, 97 Lisburn Rd, Belfast BT9 7BL, UK"
10.1099/jmm.0.47617-0,Hedderwick S,S.,Hedderwick,Lyticase,18287291,"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"Royal Victoria Hospital, 274 Grosvenor Road, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,McCloskey B,B.,McCloskey,Lyticase,18287291,"Regional Intensive Care Unit, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,O'Neill HJ,H. J.,O'Neill,Lyticase,18287291,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Webb CH,C. H.,Webb,Lyticase,18287291,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Elbaz W,W.,Elbaz,Lyticase,18287291,"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"Royal Victoria Hospital, 274 Grosvenor Road, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,McMullan R,R.,McMullan,Lyticase,18287291,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1039/c8sc01130c,Jiang N,Nan,Jiang,Lyticase,29910923,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University ,"29 Oxford St, Cambridge, MA 02138, USA"
10.1039/c8sc01130c,Ying G,Guo-Liang,Ying,,,,,
10.1039/c8sc01130c,Yetisen AK,Ali K.,Yetisen,Lyticase,29910923,"School of Chemical Engineering , University of Birmingham , Birmingham B15 2TT , UK.",University of Birmingham ,"University of Birmingham, S W Campus, Birmingham B15 2TT, UK"
10.1039/c8sc01130c,Montelongo Y,Yunuen,Montelongo,Lyticase,29910923,"Universidad De La Salle Bajío , León , 37150 , México.",Universidad De La Salle Bajío ,"Universidad de La Salle Bajío, Lomas del Campestre, 37150 León de los Aldama, Gto., Mexico"
10.1039/c8sc01130c,Shen L,Ling,Shen,Lyticase,29910923,"State Key Laboratory of Advanced Technology for Materials Synthesis and Processing , Wuhan University of Technology , 122 Luoshi Road , Wuhan , 430070 , China . Email: xyyang@whut.edu.cn.",Wuhan University of Technology ,"China, Hu Bei Sheng, Wu Han Shi, Qing Shan Qu, 和平大道947号 邮政编码: 430081"
10.1039/c8sc01130c,Xiao Y,Yu-Xuan,Xiao,,,,,
10.1039/c8sc01130c,Busscher HJ,Henk J.,Busscher,Lyticase,29910923,"University of Groningen , University Medical Center Groningen , Department of Biomedical Engineering , Antonius Deusinglaan 1 , 9713 AV , Groningen , The Netherlands.",University of Groningen ,"Broerstraat 5, 9712 CP Groningen, Netherlands"
10.1039/c8sc01130c,Yang X,Xiao-Yu,Yang,,,,,
10.1039/c8sc01130c,Su B,Bao-Lian,Su,,,,,
10.1139/w11-064,Lass-Flörl C,C.,Lass-Flörl,Lyticase,21861765,"Division of Hygiene and Medical Microbiology, Innsbruck Medical University, Fritz-Pregl-Straße 3, 6020 Innsbruck, Austria. cornelia.lass-floerl@i-med.ac.at",Innsbruck Medical University,"Christoph-Probst-Platz 1, Innrain 52 A, Fritz-Pregl-Straße 3, 6020 Innsbruck, Austria"
10.1139/w11-064,Follett SA,S.A.,Follett,,,,,
10.1139/w11-064,Moody A,A.,Moody,,,,,
10.1139/w11-064,Denning DW,D.W.,Denning,,,,,
10.4155/tde.10.114,Lakshminarayanan R,Ramanathan,Lakshminarayanan,Lyticase,22833944,"Department of Inorganic Chemistry, School of Chemistry, Madurai Kamaraj University, Madurai, India.",Madurai Kamaraj University,"Theni Main Road, W2Q9+RJJ, Nagamalai Pudukottai, Madurai, Tamil Nadu 625021, India"
10.4155/tde.10.114,Kesselman E,Ellina,Kesselman,,,,,
10.4155/tde.10.114,Cohen R,Revital,Cohen,,,,,
10.4155/tde.10.114,Athappan P,Periakaruppan,Athappan,,,,,
10.4155/tde.10.114,Shimoni E,Eyal,Shimoni,,,,,
10.1021/es405731j,Brinkmann M,Markus,Brinkmann,Lyticase,24724806,"Institute for Environmental Research, Department of Ecosystem Analysis, ABBt-Aachen Biology and Biotechnology, RWTH Aachen University , Worringerweg 1, 52074 Aachen, Germany.",RWTH Aachen University ,"Worringerweg 1, 52074 Aachen, Germany"
10.1021/es405731j,Maletz S,Sibylle,Maletz,,,,,
10.1021/es405731j,Krauss M,Martin,Krauss,,,,,
10.1021/es405731j,Bluhm K,Kerstin,Bluhm,,,,,
10.1021/es405731j,Schiwy S,Sabrina,Schiwy,,,,,
10.1021/es405731j,Kuckelkorn J,Jochen,Kuckelkorn,,,,,
10.1021/es405731j,Tiehm A,Andreas,Tiehm,,,,,
10.1021/es405731j,Brack W,Werner,Brack,,,,,
10.1021/es405731j,Hollert H,Henner,Hollert,,,,,
10.1002/jobm.201700545,Szilágyi M,Melinda,Szilágyi,Lyticase,29266292,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
10.1002/jobm.201700545,Anton F,Fruzsina,Anton,Lyticase,29266292,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
10.1002/jobm.201700545,Pócsi I,István,Pócsi,Lyticase,29266292,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
10.1002/jobm.201700545,Emri T,Tamás,Emri,Lyticase,29266292,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
10.1039/c8cc01311j,Wang G,Guan,Wang,Lyticase,29675537,"State Key Laboratory of Chemical Resource Engineering, Beijing University of Chemical Technology, Beijing, 100029, China. yangwt@mail.buct.edu.cn zhaocw@mail.buct.edu.cn.",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
10.1039/c8cc01311j,Zhang K,Kai,Zhang,,,,,
10.1039/c8cc01311j,Wang Y,Yindian,Wang,,,,,
10.1039/c8cc01311j,Zhao C,Changwen,Zhao,,,,,
10.1039/c8cc01311j,He B,Bin,He,,,,,
10.1039/c8cc01311j,Ma Y,Yuhong,Ma,,,,,
10.1039/c8cc01311j,Yang W,Wantai,Yang,,,,,
10.1002/cpps.101,Öztürk S,Sibel,Öztürk,Lyticase,31816151,"Industrial Biotechnology and Metabolic Engineering Laboratory, Department of Biotechnology, Graduate School of Natural and Applied Sciences, Middle East Technical University, Ankara, Turkey.",Middle East Technical University,"Üniversiteler, Şht. Selami Atabey Cd. Ortadoğu Teknik Üniversitesi, 06800 Çankaya/Ankara, Türkiye"
10.1002/cpps.101,Demir İ,İrem,Demir,Lyticase,31816151,"Industrial Biotechnology and Metabolic Engineering Laboratory, Department of Biotechnology, Graduate School of Natural and Applied Sciences, Middle East Technical University, Ankara, Turkey.",Middle East Technical University,"Üniversiteler, Şht. Selami Atabey Cd. Ortadoğu Teknik Üniversitesi, 06800 Çankaya/Ankara, Türkiye"
10.1002/cpps.101,Çalık P,Pınar,Çalık,Lyticase,31816151,"Industrial Biotechnology and Metabolic Engineering Laboratory, Department of Biotechnology, Graduate School of Natural and Applied Sciences, Middle East Technical University, Ankara, Turkey.",Middle East Technical University,"Üniversiteler, Şht. Selami Atabey Cd. Ortadoğu Teknik Üniversitesi, 06800 Çankaya/Ankara, Türkiye"
10.1002/yea.3514,Terzioğlu E,Ergi,Terzioğlu,Lyticase,33464648,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Alkım C,Ceren,Alkım,Lyticase,33464648,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Arslan M,Mevlüt,Arslan,Lyticase,33464648,"Department of Genetics, Faculty of Veterinary Medicine, Van Yüzüncü Yıl University, Van, Turkey.",Van Yüzüncü Yıl University,"Bardakçı, 65000 Van Merkez/Van, Türkiye"
10.1002/yea.3514,Balaban BG,Berrak Gülçin,Balaban,Lyticase,33464648,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Holyavkin C,Can,Holyavkin,Lyticase,33464648,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Kısakesen Hİ,Halil İbrahim,Kısakesen,Lyticase,33464648,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Topaloğlu A,Alican,Topaloğlu,Lyticase,33464648,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Yılmaz Şahin Ü,Ülkü,Yılmaz Şahin,Lyticase,33464648,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
10.1002/yea.3514,Gündüz Işık S,Sema,Gündüz Işık,Lyticase,33464648,"Department of Chemistry, Faculty of Science and Letters, Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, 34469 Sarıyer/İstanbul, Türkiye"
