,name,affiliations,email,website,interests,thumbnail
13,Ghazala Ashraf,"Postdoc at Huazhong University of Science and technology, Wuhan, China",Verified email at hust.edu.cn,https://www.researchgate.net/profile/Ghazala-Ashraf,"[{'title': 'Material Chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:material_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amaterial_chemistry'}, {'title': 'Bio-Sensing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bio_sensing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abio_sensing'}, {'title': 'Electrochemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:electrochemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aelectrochemistry'}, {'title': 'Fluorescent methods', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:fluorescent_methods', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afluorescent_methods'}, {'title': 'nanomaterial based sensor and bio sensors for early dise', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanomaterial_based_sensor_and_bio_sensors_for_early_dise', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananomaterial_based_sensor_and_bio_sensors_for_early_dise'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dHWiE1UAAAAJ&citpid=2
14,Wei Chen,"Associate Professor of Biomedical Engineering, Huazhong University of Science and Technology",Verified email at hust.edu.cn,,"[{'title': 'Nanopore & Artificial cell motor', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanopore_%26_artificial_cell_motor', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananopore_%2526_artificial_cell_motor'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ca2yg2kAAAAJ&citpid=2
15,Ying Tan,"Professor, Peking University",Verified email at pku.edu.cn,http://www.cil.pku.edu.cn/,"[{'title': 'computational intelligence', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:computational_intelligence', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acomputational_intelligence'}, {'title': 'swarm intelligence', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:swarm_intelligence', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aswarm_intelligence'}, {'title': 'fireworks algorithm', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:fireworks_algorithm', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afireworks_algorithm'}, {'title': 'information security', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:information_security', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ainformation_security'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PjNxSPsAAAAJ&citpid=4
16,Jian Chen,University of Leicester,Verified email at leicester.ac.uk,https://www2.le.ac.uk/departments/engineering/people/academic-staff/jian-chen,"[{'title': 'vibration', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:vibration', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Avibration'}, {'title': 'acoustics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:acoustics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aacoustics'}, {'title': 'bionic engineering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bionic_engineering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abionic_engineering'}, {'title': 'machine condition monitoring', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:machine_condition_monitoring', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amachine_condition_monitoring'}, {'title': 'and structural health monitoring', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:and_structural_health_monitoring', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aand_structural_health_monitoring'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GuLkXX4AAAAJ&citpid=1
17,Yanwei Jia,University of Macau,Verified email at um.edu.mo,https://www.fst.um.edu.mo/personal/yanweijia/,"[{'title': 'protein', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:protein', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aprotein'}, {'title': 'DNA', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:dna', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adna'}, {'title': 'PCR', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pcr', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apcr'}, {'title': 'microfluidics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microfluidics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrofluidics'}]",https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Hu-4gs8AAAAJ&citpid=3
18,Pui-In Mak (Elvis),Professor at University of Macau | IEEE Fellow | IET Fellow | RSC Fellow | CAS Overseas Expert,Verified email at umac.mo,https://sites.google.com/view/elvispimak/home,"[{'title': 'Analog', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analog', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalog'}, {'title': 'Radio Frequency', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:radio_frequency', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aradio_frequency'}, {'title': 'Integrated Circuits', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:integrated_circuits', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aintegrated_circuits'}, {'title': 'Digital Microfluidics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:digital_microfluidics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adigital_microfluidics'}, {'title': 'Lab on a Chip', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:lab_on_a_chip', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Alab_on_a_chip'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sN6wCp8AAAAJ&citpid=17
19,Rui Martins,"Life Fellow IEEE, Chair Professor (ECE), Director of IME, University of Macau",Verified email at um.edu.mo,https://rto.um.edu.mo/prof-rui-paulo-da-silva-martins/,"[{'title': 'Electronics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:electronics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aelectronics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Uhlgxo0AAAAJ&citpid=8
20,Liang Qiao,Fudan University,Verified email at fudan.edu.cn,https://faculty.fudan.edu.cn/qiaoliang/zh_CN,"[{'title': 'analytical chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemistry'}, {'title': 'mass spectrometry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mass_spectrometry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amass_spectrometry'}, {'title': 'proteomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:proteomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aproteomics'}, {'title': 'microfluidics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microfluidics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrofluidics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LkVG_nMAAAAJ&citpid=5
21,Wei Shen,Jiangsu University of Science and Technology,Verified email at u.nus.edu,,"[{'title': 'Analytical Chemsitry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemsitry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemsitry'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C2qP6fUAAAAJ&citpid=2
22,Zhiqiang Gao,National University of Singapore,Verified email at nus.edu.sg,,"[{'title': 'Analytical Chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemistry'}, {'title': 'Materials Science', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:materials_science', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amaterials_science'}, {'title': 'Biosensors', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensors', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensors'}, {'title': 'Nanotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananotechnology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Aeqt79EAAAAJ&citpid=3
23,Guo-Jun Zhang,Hubei University of Chinese Medicine,Verified email at hbtcm.edu.cn,,"[{'title': 'Nano-bio Sensing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nano_bio_sensing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anano_bio_sensing'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
24,Jinge Liu,University of Kentucky,Verified email at uky.edu,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
25,Thomas J Hardcastle,BIOS.health,Verified email at cbas.global,,"[{'title': 'Machine Learning', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:machine_learning', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amachine_learning'}, {'title': 'Bayesian Statistics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bayesian_statistics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abayesian_statistics'}, {'title': 'Bioinformatics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioinformatics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioinformatics'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
26,Nerea Irigoyen,"Research Group Leader, University of Cambridge",Verified email at cam.ac.uk,,"[{'title': 'Virology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:virology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Avirology'}, {'title': 'RNA viruses', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:rna_viruses', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Arna_viruses'}, {'title': 'coronaviruses', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:coronaviruses', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acoronaviruses'}, {'title': 'flaviviruses', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:flaviviruses', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aflaviviruses'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BAce0kYAAAAJ&citpid=1
27,Qingming Shen,南京邮电大学,Verified email at njupt.edu.cn,,"[{'title': '化学、材料、生物', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%E5%8C%96%E5%AD%A6_%E6%9D%90%E6%96%99_%E7%94%9F%E7%89%A9', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25E5%258C%2596%25E5%25AD%25A6_%25E6%259D%2590%25E6%2596%2599_%25E7%2594%259F%25E7%2589%25A9'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
28,Clement Yaw Effah,The First Affiliated Hospital of Zhengzhou University,Verified email at zzu.edu.cn,,"[{'title': 'Microbiology. Biosensors. Nano-medicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology_biosensors_nano_medicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology_biosensors_nano_medicine'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ib8RbEYAAAAJ&citpid=2
29,Jingjing Zhao,Shenzhen university,Verified email at szu.edu.cn,,"[{'title': 'biosensor', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensor', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensor'}, {'title': 'THz', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:thz', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Athz'}, {'title': 'adsoprtion', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:adsoprtion', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aadsoprtion'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dT5fXM4AAAAJ&citpid=2
30,Prof. Dong Haifeng,Shenzhen University,Verified email at szu.edu.cn,,"[{'title': 'Biosensor', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensor', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensor'}, {'title': 'Nanomedicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanomedicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananomedicine'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ys2NlGcAAAAJ&citpid=1
